Date,Campaign,Channel,Stage,Conversion_Flag,Revenue,Impressions,Clicks,Leads,CTR,CPC,CPA,Country,Device,AgeGroup,Gender,Avg_Time_on_Page_sec,Bounce_Rate,Engagement_Score,Referral_Source,Video_50%,Video_75%,Video_100%,ThruPlay_Rate
2025-06-06,Winter Campaign,Social Media,Visited Website,0,0.0,128,15,6,0.1172,1.08,20.91,UK,Tablet,45-54,Male,219.29,0.47,27.2,Email,0.12,0.35,0.44,0.0034
2025-05-02,Black Friday,Paid Ads,Signed Up,0,0.0,3005,436,176,0.1451,1.4,21.99,USA,Desktop,55+,Female,51.79,0.62,59.98,Social,0.4,0.56,0.99,0.0003
2025-07-06,Spring Sale,Email,Visited Website,0,0.0,859,168,47,0.1956,4.98,9.56,Australia,Mobile,18-24,Male,59.43,0.14,80.34,Email,0.09,0.45,0.62,0.0007
2025-06-08,Winter Campaign,Email,Purchase Completed,1,488.45,898,22,6,0.0245,0.46,44.4,USA,Mobile,18-24,Other,196.44,0.63,61.97,Direct,0.1,0.31,0.68,0.0008
2025-02-10,Spring Sale,Referral,Visited Website,0,0.0,4598,683,264,0.1485,1.89,45.62,Germany,Desktop,35-44,Other,117.05,0.57,21.29,Paid,0.93,0.95,0.96,0.0002
2025-03-05,Black Friday,Paid Ads,Visited Website,0,0.0,4923,500,170,0.1016,2.64,46.37,USA,Tablet,55+,Other,272.47,0.55,23.75,Paid,0.5,0.69,0.83,0.0002
2025-01-23,Winter Campaign,Email,Visited Website,0,0.0,2431,88,35,0.0362,1.91,38.93,Germany,Desktop,45-54,Other,89.87,0.55,89.08,Organic,0.4,0.94,0.96,0.0004
2025-09-16,Winter Campaign,Email,Visited Website,0,0.0,681,66,24,0.0969,0.49,8.74,UK,Desktop,55+,Male,94.62,0.5,72.8,Social,0.62,0.81,0.81,0.0012
2025-10-26,Black Friday,Paid Ads,Visited Website,0,0.0,650,108,52,0.1662,4.58,21.97,UK,Tablet,25-34,Male,257.12,0.39,49.97,Direct,0.05,0.8,0.96,0.0015
2025-10-02,Winter Campaign,Paid Ads,Added to Cart,0,0.0,3158,462,158,0.1463,4.43,9.4,Australia,Desktop,35-44,Male,244.49,0.32,94.77,Email,0.54,0.87,0.96,0.0003
2025-01-17,Black Friday,Paid Ads,Visited Website,0,0.0,4313,560,63,0.1298,2.55,47.4,Australia,Desktop,25-34,Female,168.31,0.2,72.84,Organic,0.34,0.86,0.9,0.0002
2025-11-12,Black Friday,Email,Visited Website,0,0.0,1686,76,31,0.0451,2.57,42.7,Germany,Mobile,35-44,Other,73.17,0.36,22.63,Organic,0.53,0.94,0.94,0.0006
2025-04-24,Winter Campaign,Paid Ads,Signed Up,0,0.0,1426,82,28,0.0575,4.37,25.76,India,Tablet,45-54,Male,85.01,0.36,87.76,Organic,0.74,0.77,0.9,0.0006
2025-07-02,Black Friday,Referral,Purchase Completed,1,424.34,1785,94,46,0.0527,4.84,18.8,Germany,Tablet,45-54,Male,239.95,0.26,24.99,Email,0.47,0.81,0.97,0.0005
2025-06-30,Summer Promo,Email,Visited Website,0,0.0,4467,140,33,0.0313,2.33,28.18,UK,Tablet,45-54,Other,68.87,0.16,32.23,Email,0.49,0.87,0.9,0.0002
2025-01-05,Black Friday,Email,Added to Cart,0,0.0,436,72,30,0.1651,3.53,19.25,Germany,Desktop,25-34,Female,285.0,0.52,12.67,Direct,0.06,0.39,0.97,0.0022
2025-07-05,Summer Promo,Email,Visited Website,0,0.0,3953,542,72,0.1371,4.6,46.94,USA,Desktop,45-54,Other,166.0,0.24,14.25,Organic,0.29,0.92,0.93,0.0002
2025-07-01,Winter Campaign,Paid Ads,Visited Website,0,0.0,1182,133,41,0.1125,4.55,14.11,Australia,Tablet,25-34,Female,118.59,0.28,23.01,Social,0.57,0.68,0.69,0.0006
2025-03-15,Summer Promo,Email,Added to Cart,0,0.0,2106,312,124,0.1481,4.66,21.15,USA,Tablet,35-44,Male,58.22,0.61,18.45,Paid,0.43,0.92,0.93,0.0004
2025-11-04,Black Friday,Social Media,Signed Up,0,0.0,2051,363,46,0.177,3.37,41.61,Australia,Tablet,18-24,Female,169.17,0.28,67.17,Social,0.86,0.99,1.0,0.0005
2025-09-06,Black Friday,Email,Signed Up,0,0.0,3876,283,117,0.073,2.05,21.93,India,Mobile,18-24,Other,190.08,0.24,37.12,Social,0.09,0.23,0.89,0.0002
2025-05-24,Winter Campaign,Email,Visited Website,0,0.0,139,19,6,0.1367,2.41,12.74,USA,Mobile,55+,Female,111.4,0.47,73.64,Email,0.06,0.61,0.8,0.0058
2025-10-05,Summer Promo,Email,Signed Up,0,0.0,1517,188,92,0.1239,0.8,9.33,UK,Desktop,18-24,Male,25.88,0.64,60.03,Email,0.14,0.34,1.0,0.0007
2024-12-18,Spring Sale,Paid Ads,Signed Up,0,0.0,2410,402,117,0.1668,2.84,40.51,Germany,Desktop,45-54,Female,43.97,0.55,58.89,Organic,0.93,0.96,0.96,0.0004
2025-07-24,Winter Campaign,Email,Signed Up,0,0.0,1436,269,48,0.1873,2.84,42.93,USA,Mobile,25-34,Other,192.83,0.64,82.16,Social,0.52,0.93,1.0,0.0007
2025-06-14,Summer Promo,Referral,Purchase Completed,1,164.46,4934,122,51,0.0247,4.09,44.76,India,Mobile,45-54,Male,200.25,0.42,27.23,Social,0.96,0.96,0.96,0.0002
2025-04-17,Winter Campaign,Referral,Visited Website,0,0.0,4055,327,151,0.0806,4.81,41.46,India,Mobile,35-44,Female,144.48,0.57,80.48,Paid,0.39,0.79,0.85,0.0002
2025-07-17,Summer Promo,Paid Ads,Added to Cart,0,0.0,4581,333,46,0.0727,4.56,30.66,Australia,Tablet,25-34,Female,50.17,0.34,3.34,Paid,0.89,0.9,0.95,0.0002
2025-04-30,Spring Sale,Email,Visited Website,0,0.0,4557,683,192,0.1499,4.78,15.84,Australia,Mobile,18-24,Other,286.8,0.69,15.49,Direct,0.77,0.95,0.96,0.0002
2025-11-07,Winter Campaign,Referral,Added to Cart,0,0.0,739,79,8,0.1069,4.72,40.67,India,Tablet,18-24,Other,179.11,0.38,52.49,Email,0.94,0.99,1.0,0.0014
2025-11-08,Spring Sale,Paid Ads,Visited Website,0,0.0,3110,118,35,0.0379,0.79,27.66,USA,Tablet,35-44,Other,62.44,0.11,40.6,Social,0.16,0.34,0.74,0.0002
2025-11-14,Spring Sale,Email,Signed Up,0,0.0,395,69,14,0.1747,1.38,7.84,UK,Tablet,55+,Other,230.72,0.69,30.57,Direct,0.94,0.95,0.95,0.0024
2025-04-22,Winter Campaign,Social Media,Added to Cart,0,0.0,452,81,36,0.1792,2.9,5.25,USA,Mobile,35-44,Female,126.84,0.1,36.0,Paid,0.01,0.61,0.96,0.0021
2025-01-21,Winter Campaign,Social Media,Signed Up,0,0.0,4906,547,79,0.1115,3.73,40.43,UK,Desktop,18-24,Female,131.96,0.52,14.12,Social,0.52,0.61,0.75,0.0002
2025-01-05,Black Friday,Social Media,Signed Up,0,0.0,2288,337,60,0.1473,3.72,48.09,USA,Tablet,25-34,Female,231.04,0.56,35.77,Organic,0.68,0.89,0.99,0.0004
2025-10-21,Black Friday,Referral,Signed Up,0,0.0,2055,237,69,0.1153,1.9,5.16,India,Mobile,45-54,Female,243.01,0.21,16.16,Email,0.1,0.25,0.45,0.0002
2025-02-20,Spring Sale,Social Media,Visited Website,0,0.0,4731,194,21,0.041,0.63,31.32,USA,Mobile,55+,Male,178.9,0.63,68.97,Email,0.53,0.55,0.78,0.0002
2025-11-01,Spring Sale,Email,Purchase Completed,1,73.56,620,45,20,0.0726,1.48,45.68,Australia,Mobile,25-34,Other,236.49,0.13,25.92,Organic,0.38,0.55,0.67,0.0011
2025-10-08,Black Friday,Referral,Added to Cart,0,0.0,1562,112,25,0.0717,1.18,29.8,UK,Mobile,35-44,Other,239.1,0.19,90.31,Paid,0.73,0.87,0.94,0.0006
2025-10-30,Spring Sale,Referral,Signed Up,0,0.0,437,33,4,0.0755,4.72,40.86,Germany,Desktop,45-54,Other,260.41,0.16,59.79,Social,0.67,0.78,0.9,0.0021
2025-10-01,Spring Sale,Paid Ads,Signed Up,0,0.0,1446,208,80,0.1438,2.43,37.0,USA,Desktop,18-24,Other,206.74,0.61,46.39,Paid,0.64,0.92,0.93,0.0006
2024-12-04,Black Friday,Referral,Visited Website,0,0.0,1498,124,36,0.0828,3.2,38.22,Australia,Tablet,45-54,Male,137.06,0.69,96.06,Email,0.02,0.78,0.82,0.0005
2025-04-25,Spring Sale,Social Media,Visited Website,0,0.0,2978,292,71,0.0981,1.67,30.7,India,Mobile,45-54,Other,203.54,0.22,27.48,Paid,0.71,0.76,0.91,0.0003
2025-01-16,Spring Sale,Email,Added to Cart,0,0.0,1615,271,113,0.1678,1.55,10.96,India,Desktop,25-34,Female,58.24,0.1,38.06,Direct,0.46,0.64,0.9,0.0006
2025-10-23,Black Friday,Referral,Signed Up,0,0.0,406,31,7,0.0764,4.49,37.9,Germany,Tablet,45-54,Female,206.73,0.55,37.39,Paid,0.46,0.96,1.0,0.0025
2025-05-28,Winter Campaign,Social Media,Purchase Completed,1,76.65,2424,294,94,0.1213,0.58,5.54,USA,Desktop,45-54,Female,287.26,0.23,42.92,Direct,0.29,0.78,0.99,0.0004
2025-05-26,Summer Promo,Email,Visited Website,0,0.0,1113,163,65,0.1465,4.57,49.8,USA,Tablet,18-24,Male,182.88,0.11,77.67,Email,0.09,0.38,0.49,0.0004
2025-03-04,Spring Sale,Email,Signed Up,0,0.0,1839,268,53,0.1457,4.12,48.42,India,Tablet,25-34,Female,104.71,0.29,56.07,Email,0.18,0.31,0.83,0.0005
2025-10-26,Black Friday,Email,Purchase Completed,1,142.4,569,49,10,0.0861,2.39,20.11,Australia,Mobile,35-44,Male,169.54,0.61,7.89,Direct,0.58,0.97,0.98,0.0017
2025-01-12,Summer Promo,Referral,Visited Website,0,0.0,2497,373,69,0.1494,0.32,45.84,UK,Tablet,35-44,Female,70.79,0.12,85.88,Direct,0.72,0.8,0.99,0.0004
2024-12-26,Spring Sale,Email,Added to Cart,0,0.0,3627,703,92,0.1938,0.74,18.02,USA,Desktop,35-44,Other,238.85,0.44,40.82,Social,0.26,0.54,0.69,0.0002
2025-10-03,Spring Sale,Referral,Signed Up,0,0.0,3064,236,58,0.077,3.12,20.25,Australia,Desktop,35-44,Female,131.61,0.28,13.21,Social,0.06,0.26,0.53,0.0002
2025-02-20,Winter Campaign,Referral,Purchase Completed,1,33.08,2176,83,11,0.0381,2.66,27.88,India,Desktop,35-44,Other,153.35,0.49,42.17,Direct,0.27,0.61,0.99,0.0005
2025-01-16,Black Friday,Referral,Visited Website,0,0.0,1509,144,67,0.0954,2.31,5.17,Australia,Tablet,45-54,Female,294.79,0.53,21.44,Social,0.72,0.86,0.91,0.0006
2025-08-08,Winter Campaign,Referral,Visited Website,0,0.0,3467,559,97,0.1612,4.74,41.07,Australia,Mobile,45-54,Female,38.39,0.63,27.01,Organic,0.39,0.44,0.59,0.0002
2025-02-17,Black Friday,Email,Signed Up,0,0.0,4739,652,137,0.1376,0.97,44.36,USA,Mobile,55+,Other,74.29,0.18,8.11,Direct,0.05,0.4,0.97,0.0002
2025-08-30,Spring Sale,Paid Ads,Added to Cart,0,0.0,3214,491,218,0.1528,1.93,33.82,USA,Mobile,18-24,Male,214.16,0.13,56.47,Direct,0.54,0.59,0.94,0.0003
2025-03-28,Summer Promo,Email,Signed Up,0,0.0,2843,510,90,0.1794,2.82,43.76,India,Tablet,45-54,Other,220.83,0.25,70.4,Organic,0.69,0.86,0.87,0.0003
2025-03-07,Spring Sale,Referral,Signed Up,0,0.0,4768,687,222,0.1441,3.4,18.25,UK,Mobile,25-34,Other,99.27,0.59,16.5,Social,0.25,0.29,0.95,0.0002
2025-10-17,Summer Promo,Social Media,Added to Cart,0,0.0,4559,720,278,0.1579,3.11,38.79,Germany,Desktop,35-44,Male,55.59,0.2,59.7,Paid,1.0,1.0,1.0,0.0002
2025-03-05,Summer Promo,Referral,Visited Website,0,0.0,671,38,10,0.0566,0.94,21.68,USA,Desktop,18-24,Male,129.79,0.34,0.88,Social,0.93,0.96,0.99,0.0015
2025-05-29,Summer Promo,Social Media,Visited Website,0,0.0,4160,583,159,0.1401,0.6,43.83,Australia,Mobile,25-34,Other,244.66,0.7,23.19,Paid,0.42,0.76,0.89,0.0002
2025-02-23,Summer Promo,Referral,Purchase Completed,1,185.68,2100,127,43,0.0605,4.32,9.22,UK,Desktop,35-44,Female,106.56,0.58,57.3,Organic,0.0,0.36,0.44,0.0002
2024-11-21,Spring Sale,Paid Ads,Signed Up,0,0.0,3648,460,155,0.1261,1.96,19.05,India,Mobile,35-44,Female,85.43,0.55,81.24,Social,0.61,0.92,0.98,0.0003
2025-03-09,Winter Campaign,Paid Ads,Visited Website,0,0.0,718,43,12,0.0599,4.34,20.31,India,Tablet,55+,Other,249.68,0.22,50.45,Organic,0.17,0.99,1.0,0.0014
2025-10-02,Spring Sale,Social Media,Visited Website,0,0.0,1217,168,81,0.138,1.64,30.72,Germany,Mobile,55+,Female,27.42,0.59,19.56,Direct,0.3,0.34,0.53,0.0004
2024-11-24,Summer Promo,Social Media,Visited Website,0,0.0,3549,592,267,0.1668,3.18,35.5,USA,Tablet,25-34,Male,223.95,0.62,37.1,Social,0.19,0.2,0.24,0.0001
2025-08-15,Summer Promo,Referral,Added to Cart,0,0.0,938,153,73,0.1631,3.69,47.04,USA,Tablet,45-54,Male,212.12,0.55,82.43,Social,0.58,0.63,0.96,0.001
2025-01-01,Black Friday,Referral,Added to Cart,0,0.0,3223,506,57,0.157,4.29,35.12,India,Desktop,55+,Male,287.92,0.35,75.22,Email,0.89,0.99,1.0,0.0003
2025-02-27,Black Friday,Paid Ads,Signed Up,0,0.0,2543,110,49,0.0433,1.58,6.38,UK,Mobile,55+,Other,94.27,0.47,26.73,Direct,0.76,0.89,0.92,0.0004
2025-07-23,Black Friday,Social Media,Signed Up,0,0.0,1881,199,85,0.1058,0.46,32.36,UK,Tablet,25-34,Other,141.96,0.69,95.27,Organic,0.27,0.55,0.99,0.0005
2025-09-29,Black Friday,Paid Ads,Signed Up,0,0.0,1505,232,44,0.1542,1.14,41.72,UK,Desktop,25-34,Other,197.61,0.14,58.71,Organic,0.33,0.68,0.76,0.0005
2025-04-30,Winter Campaign,Paid Ads,Visited Website,0,0.0,3789,101,32,0.0267,0.79,42.18,UK,Tablet,45-54,Other,154.12,0.3,13.13,Paid,0.89,0.97,1.0,0.0003
2025-01-27,Black Friday,Social Media,Visited Website,0,0.0,457,20,3,0.0438,4.74,33.31,UK,Desktop,18-24,Male,104.0,0.48,74.82,Organic,0.55,0.78,0.97,0.0021
2025-03-06,Spring Sale,Paid Ads,Visited Website,0,0.0,1239,102,46,0.0823,2.18,6.47,USA,Mobile,35-44,Male,206.11,0.22,66.14,Direct,0.26,0.82,0.9,0.0007
2025-07-04,Summer Promo,Email,Signed Up,0,0.0,2126,389,142,0.183,4.24,41.54,Germany,Tablet,18-24,Male,84.92,0.4,58.59,Email,0.49,0.73,0.93,0.0004
2025-09-27,Spring Sale,Referral,Added to Cart,0,0.0,2666,302,127,0.1133,2.88,23.2,UK,Desktop,35-44,Male,290.57,0.14,24.05,Direct,0.31,0.73,0.99,0.0004
2025-04-27,Summer Promo,Referral,Signed Up,0,0.0,4482,887,399,0.1979,4.19,45.24,Australia,Mobile,35-44,Female,153.03,0.33,1.18,Social,0.03,0.97,1.0,0.0002
