Campaign,Channel,Date,Impressions,Clicks,Leads,Conversions,Spend,CTR,CPC,CPL,CPA,ConversionRate,LeadRate,Revenue,ROAS,Country,Device,AgeGroup,Gender,AdSet,Creative,UTM_Source,UTM_Medium
Big Weekend Push,Facebook,2025-10-04,46686,1122,373,197,7174.97,2.4,6.39,19.24,36.42,52.82,33.24,308999.38,43.07,USA,Tablet,18-24,Male,High Intent Segment,Carousel Ad,linkedin,cpc
Big Weekend Push,Facebook,2025-08-01,124165,1520,79,34,3356.12,1.22,2.21,42.48,98.71,43.04,5.2,85892.39,25.59,India,Tablet,35-44,Female,Warm Audience,Video Creative A,youtube,organic
New Year Promo,Google Ads,2025-09-29,185344,1662,613,187,21402.35,0.9,12.88,34.91,114.45,30.51,36.88,899046.42,42.01,Singapore,Tablet,55+,Female,Retargeting,Static Image 2,youtube,display
New Year Promo,YouTube,2025-10-15,133196,12793,1995,33,3431.06,9.6,0.27,1.72,103.97,1.65,15.59,164561.82,47.96,India,Desktop,18-24,Male,Warm Audience,Static Image 2,youtube,paid_social
Big Weekend Push,LinkedIn,2025-10-08,68373,7442,354,159,7972.73,10.88,1.07,22.52,50.14,44.92,4.76,700289.46,87.84,Singapore,Tablet,35-44,Female,High Intent Segment,Carousel Ad,facebook,cpc
Freedom Sale,Google Ads,2025-08-23,143635,2431,268,31,6534.72,1.69,2.69,24.38,210.8,11.57,11.02,131102.87,20.06,USA,Desktop,18-24,Female,High Intent Segment,Reel Format,facebook,organic
Back to School,YouTube,2025-08-27,157564,14505,5183,1931,25024.58,9.21,1.73,4.83,12.96,37.26,35.73,6104380.06,243.94,India,Tablet,45-54,Male,Warm Audience,Static Image 1,instagram,organic
Back to School,Google Ads,2025-08-21,79331,1934,455,69,26772.13,2.44,13.84,58.84,388.0,15.16,23.53,238962.03,8.93,Singapore,Mobile,35-44,Other,Retargeting,Video Creative B,google,paid_social
Big Weekend Push,LinkedIn,2025-08-08,67065,2435,781,139,30889.93,3.63,12.69,39.55,222.23,17.8,32.07,691363.36,22.38,UK,Desktop,18-24,Female,Warm Audience,Video Creative A,instagram,paid_social
Freedom Sale,Google Ads,2025-10-24,78522,9337,2092,1208,25154.69,11.89,2.69,12.02,20.82,57.74,22.41,5891435.37,234.21,UAE,Desktop,35-44,Other,App Users,Carousel Ad,google,paid_social
Back to School,Instagram,2025-07-25,94328,6800,3392,112,7140.13,7.21,1.05,2.1,63.75,3.3,49.88,512601.34,71.79,Singapore,Desktop,18-24,Female,App Users,Static Image 2,instagram,display
New Year Promo,Instagram,2025-07-23,120260,14219,4720,2048,14561.9,11.82,1.02,3.09,7.11,43.39,33.2,2202836.77,151.27,Singapore,Desktop,45-54,Female,Retargeting,Video Creative B,instagram,cpc
Big Weekend Push,Google Ads,2025-08-03,54497,508,56,3,18093.08,0.93,35.62,323.09,6031.03,5.36,11.02,6855.65,0.38,UAE,Desktop,25-34,Male,Website Visitors,Carousel Ad,facebook,paid_social
Big Weekend Push,Google Ads,2025-09-24,165165,7581,3578,1269,28777.23,4.59,3.8,8.04,22.68,35.47,47.2,4421233.27,153.64,India,Tablet,35-44,Other,Cold Lookalike,Static Image 2,linkedin,paid_social
New Year Promo,LinkedIn,2025-09-23,95290,3522,384,10,31926.95,3.7,9.07,83.14,3192.7,2.6,10.9,31348.46,0.98,India,Mobile,55+,Other,Cold Lookalike,Carousel Ad,instagram,paid_social
Summer Fest,YouTube,2025-11-03,81267,4499,890,511,27758.42,5.54,6.17,31.19,54.32,57.42,19.78,2472279.94,89.06,Singapore,Mobile,25-34,Male,Website Visitors,Reel Format,instagram,cpc
Freedom Sale,YouTube,2025-07-29,39276,508,219,96,6229.96,1.29,12.26,28.45,64.9,43.84,43.11,302499.68,48.56,Singapore,Desktop,35-44,Male,High Intent Segment,Reel Format,facebook,display
Summer Fest,Facebook,2025-07-21,65967,5831,2059,91,16825.36,8.84,2.89,8.17,184.89,4.42,35.31,317027.42,18.84,UK,Mobile,35-44,Male,App Users,Video Creative B,linkedin,organic
Big Weekend Push,Facebook,2025-10-19,92795,6130,2539,246,12382.22,6.61,2.02,4.88,50.33,9.69,41.42,759447.02,61.33,USA,Desktop,55+,Female,Website Visitors,Video Creative B,youtube,paid_social
Big Weekend Push,Google Ads,2025-10-11,49292,5225,868,422,27926.01,10.6,5.34,32.17,66.18,48.62,16.61,2072449.39,74.21,India,Mobile,35-44,Other,Cold Lookalike,Reel Format,instagram,organic
Summer Fest,YouTube,2025-09-11,72944,6005,714,254,23532.05,8.23,3.92,32.96,92.65,35.57,11.89,829001.71,35.23,UK,Mobile,45-54,Other,Warm Audience,Carousel Ad,linkedin,paid_social
Summer Fest,Instagram,2025-10-02,66912,5067,178,75,11712.01,7.57,2.31,65.8,156.16,42.13,3.51,272601.6,23.28,Singapore,Tablet,45-54,Other,Cold Lookalike,Reel Format,google,cpc
Summer Fest,LinkedIn,2025-10-17,167817,4458,1096,417,8193.24,2.66,1.84,7.48,19.65,38.05,24.59,649308.26,79.25,India,Desktop,45-54,Other,Website Visitors,Static Image 1,facebook,organic
Summer Fest,Instagram,2025-11-07,113295,8268,14,8,28469.61,7.3,3.44,2033.54,3558.7,57.14,0.17,28718.25,1.01,USA,Mobile,55+,Female,Website Visitors,Static Image 2,google,organic
Freedom Sale,Google Ads,2025-07-21,148426,7373,1107,223,32497.9,4.97,4.41,29.36,145.73,20.14,15.01,846790.36,26.06,USA,Mobile,35-44,Male,High Intent Segment,Static Image 2,linkedin,organic
Big Weekend Push,LinkedIn,2025-09-01,188576,20009,154,29,14430.54,10.61,0.72,93.7,497.6,18.83,0.77,29169.31,2.02,UK,Mobile,45-54,Female,App Users,Reel Format,linkedin,paid_social
Summer Fest,Instagram,2025-09-21,137090,2938,740,379,26577.82,2.14,9.05,35.92,70.13,51.22,25.19,1108240.2,41.7,Singapore,Desktop,55+,Male,App Users,Static Image 2,youtube,organic
Summer Fest,Instagram,2025-10-01,25668,1909,415,188,18590.36,7.44,9.74,44.8,98.88,45.3,21.74,104302.17,5.61,India,Tablet,18-24,Other,App Users,Carousel Ad,facebook,organic
Freedom Sale,Google Ads,2025-07-27,69833,7353,2104,645,21067.78,10.53,2.87,10.01,32.66,30.66,28.61,2795711.91,132.7,UK,Tablet,35-44,Other,Cold Lookalike,Carousel Ad,google,cpc
Big Weekend Push,Facebook,2025-07-20,63457,3867,1520,846,9766.28,6.09,2.53,6.43,11.54,55.66,39.31,1485048.74,152.06,India,Mobile,55+,Male,Retargeting,Static Image 1,google,cpc
Freedom Sale,Instagram,2025-09-24,96017,9907,4615,650,1485.1,10.32,0.15,0.32,2.28,14.08,46.58,1876942.28,1263.85,UAE,Desktop,25-34,Male,Warm Audience,Video Creative B,google,paid_social
Back to School,Google Ads,2025-08-14,29551,513,8,4,31459.69,1.74,61.32,3932.46,7864.92,50.0,1.56,17324.75,0.55,UAE,Desktop,55+,Male,Cold Lookalike,Reel Format,facebook,cpc
Summer Fest,YouTube,2025-08-10,63341,174,84,2,1231.65,0.27,7.08,14.66,615.83,2.38,48.28,1650.95,1.34,UAE,Tablet,18-24,Other,App Users,Reel Format,instagram,cpc
Big Weekend Push,Facebook,2025-09-06,9773,807,330,146,11490.19,8.26,14.24,34.82,78.7,44.24,40.89,695988.99,60.57,USA,Tablet,25-34,Male,App Users,Static Image 2,linkedin,organic
Big Weekend Push,Instagram,2025-07-28,62742,953,154,79,24117.15,1.52,25.31,156.6,305.28,51.3,16.16,334563.41,13.87,India,Tablet,55+,Male,High Intent Segment,Video Creative B,youtube,paid_social
Diwali Blast Sale,LinkedIn,2025-11-11,13138,1421,118,19,33226.46,10.82,23.38,281.58,1748.76,16.1,8.3,66953.4,2.02,Singapore,Desktop,35-44,Female,Warm Audience,Carousel Ad,instagram,cpc
Back to School,Facebook,2025-09-12,83215,3343,1304,0,18690.97,4.02,5.59,14.33,0.0,0.0,39.01,0.0,0.0,India,Tablet,55+,Male,Cold Lookalike,Video Creative B,linkedin,organic
Big Weekend Push,Google Ads,2025-10-11,135256,5799,590,86,7692.45,4.29,1.33,13.04,89.45,14.58,10.17,88720.07,11.53,Singapore,Desktop,25-34,Female,Website Visitors,Video Creative B,facebook,paid_social
Back to School,YouTube,2025-08-13,138336,6439,1771,466,25040.24,4.65,3.89,14.14,53.73,26.31,27.5,1786597.03,71.35,India,Tablet,35-44,Other,High Intent Segment,Static Image 1,youtube,display
Back to School,Facebook,2025-07-19,145743,6749,1625,105,29324.33,4.63,4.34,18.05,279.28,6.46,24.08,269303.58,9.18,UAE,Tablet,55+,Other,Warm Audience,Video Creative A,youtube,paid_social
Diwali Blast Sale,YouTube,2025-10-17,96274,3954,1864,692,18449.26,4.11,4.67,9.9,26.66,37.12,47.14,1587348.89,86.04,UAE,Tablet,55+,Male,App Users,Video Creative A,linkedin,paid_social
Diwali Blast Sale,Google Ads,2025-09-06,56634,5271,2416,536,18310.85,9.31,3.47,7.58,34.16,22.19,45.84,475025.85,25.94,Singapore,Tablet,45-54,Male,Warm Audience,Reel Format,instagram,organic
Freedom Sale,YouTube,2025-09-14,15738,502,56,28,24188.16,3.19,48.18,431.93,863.86,50.0,11.16,26323.76,1.09,UAE,Desktop,55+,Female,App Users,Static Image 1,google,paid_social
Summer Fest,Google Ads,2025-09-25,119879,14037,3025,1052,3941.56,11.71,0.28,1.3,3.75,34.78,21.55,1004174.69,254.77,UK,Desktop,35-44,Female,Cold Lookalike,Static Image 2,youtube,organic
Diwali Blast Sale,Google Ads,2025-08-13,143163,10529,2611,149,6588.98,7.35,0.63,2.52,44.22,5.71,24.8,193427.53,29.36,Singapore,Tablet,45-54,Female,Warm Audience,Static Image 2,youtube,cpc
Summer Fest,LinkedIn,2025-08-25,130998,6001,380,117,2575.29,4.58,0.43,6.78,22.01,30.79,6.33,65814.32,25.56,UK,Tablet,45-54,Other,App Users,Video Creative B,instagram,display
Diwali Blast Sale,Instagram,2025-08-11,153768,15316,6071,1760,5099.66,9.96,0.33,0.84,2.9,28.99,39.64,4948398.62,970.34,Singapore,Desktop,45-54,Female,Retargeting,Video Creative B,google,paid_social
Diwali Blast Sale,Instagram,2025-10-19,78255,4192,1929,594,12909.92,5.36,3.08,6.69,21.73,30.79,46.02,689872.82,53.44,UK,Desktop,55+,Other,App Users,Static Image 2,google,display
Diwali Blast Sale,Facebook,2025-09-19,97931,7579,964,481,30426.47,7.74,4.01,31.56,63.26,49.9,12.72,2354376.32,77.38,Singapore,Tablet,35-44,Female,Warm Audience,Carousel Ad,linkedin,cpc
Back to School,Instagram,2025-08-23,174696,14558,2641,186,25882.77,8.33,1.78,9.8,139.15,7.04,18.14,377861.86,14.6,Singapore,Desktop,35-44,Female,High Intent Segment,Carousel Ad,facebook,organic
Summer Fest,Instagram,2025-07-24,179156,16077,3083,1125,3277.28,8.97,0.2,1.06,2.91,36.49,19.18,2441245.87,744.9,UAE,Mobile,18-24,Other,Warm Audience,Carousel Ad,linkedin,organic
Summer Fest,LinkedIn,2025-10-07,88840,5069,1659,656,11892.13,5.71,2.35,7.17,18.13,39.54,32.73,1658730.07,139.48,USA,Mobile,25-34,Other,App Users,Static Image 2,google,organic
Back to School,Instagram,2025-10-15,159315,15599,7703,614,27705.81,9.79,1.78,3.6,45.12,7.97,49.38,2842985.2,102.61,UK,Tablet,18-24,Male,Website Visitors,Reel Format,linkedin,cpc
Big Weekend Push,LinkedIn,2025-11-13,81667,1823,8,1,34556.63,2.23,18.96,4319.58,34556.63,12.5,0.44,3000.05,0.09,USA,Mobile,45-54,Male,Retargeting,Video Creative A,instagram,cpc
Back to School,LinkedIn,2025-08-28,97364,6817,1583,500,25097.16,7.0,3.68,15.85,50.19,31.59,23.22,1912954.05,76.22,UK,Mobile,45-54,Female,Cold Lookalike,Static Image 2,instagram,cpc
New Year Promo,YouTube,2025-09-01,39409,423,33,6,4188.99,1.07,9.9,126.94,698.16,18.18,7.8,5091.56,1.22,Singapore,Tablet,55+,Female,High Intent Segment,Video Creative A,google,display
New Year Promo,Instagram,2025-08-10,73186,7436,572,208,34825.6,10.16,4.68,60.88,167.43,36.36,7.69,927345.42,26.63,India,Mobile,25-34,Other,High Intent Segment,Carousel Ad,youtube,paid_social
Freedom Sale,Google Ads,2025-09-25,51947,2989,839,406,19760.29,5.75,6.61,23.55,48.67,48.39,28.07,1936004.8,97.97,India,Desktop,18-24,Female,Retargeting,Carousel Ad,instagram,organic
Back to School,YouTube,2025-11-04,18199,1351,182,19,13243.42,7.42,9.8,72.77,697.02,10.44,13.47,39402.07,2.98,India,Mobile,35-44,Male,Website Visitors,Carousel Ad,instagram,paid_social
Big Weekend Push,Google Ads,2025-10-28,81820,4939,2172,669,22564.01,6.04,4.57,10.39,33.73,30.8,43.98,2791127.01,123.7,UAE,Tablet,35-44,Female,App Users,Carousel Ad,instagram,cpc
New Year Promo,Google Ads,2025-10-02,48394,3701,1666,255,24448.6,7.65,6.61,14.68,95.88,15.31,45.01,605979.51,24.79,USA,Tablet,35-44,Male,High Intent Segment,Video Creative B,youtube,organic
Diwali Blast Sale,Facebook,2025-08-14,74003,8748,3409,1814,26486.76,11.82,3.03,7.77,14.6,53.21,38.97,4138188.17,156.24,UK,Mobile,45-54,Male,Warm Audience,Static Image 2,linkedin,organic
Freedom Sale,Facebook,2025-09-29,101884,2142,460,73,3608.73,2.1,1.68,7.85,49.43,15.87,21.48,249247.74,69.07,USA,Tablet,25-34,Female,Cold Lookalike,Video Creative A,google,display
Back to School,Google Ads,2025-10-13,74696,7543,2418,630,18237.97,10.1,2.42,7.54,28.95,26.05,32.06,2044837.69,112.12,USA,Desktop,35-44,Female,High Intent Segment,Static Image 2,linkedin,paid_social
Big Weekend Push,YouTube,2025-09-06,81173,8479,3300,508,32242.25,10.45,3.8,9.77,63.47,15.39,38.92,2311076.42,71.68,UK,Tablet,55+,Female,High Intent Segment,Video Creative B,instagram,cpc
Summer Fest,Instagram,2025-08-05,6584,712,21,0,14981.27,10.81,21.04,713.39,0.0,0.0,2.95,0.0,0.0,India,Tablet,25-34,Other,High Intent Segment,Static Image 2,facebook,display
Summer Fest,Facebook,2025-09-23,59960,5515,940,550,31834.94,9.2,5.77,33.87,57.88,58.51,17.04,1648601.6,51.79,India,Tablet,18-24,Female,Warm Audience,Static Image 1,facebook,paid_social
Summer Fest,Google Ads,2025-09-30,142820,12740,4177,970,2274.69,8.92,0.18,0.54,2.35,23.22,32.79,2933247.24,1289.52,UAE,Mobile,25-34,Other,Cold Lookalike,Video Creative B,youtube,paid_social
Summer Fest,LinkedIn,2025-07-21,177598,6531,422,43,9569.11,3.68,1.47,22.68,222.54,10.19,6.46,122692.61,12.82,UAE,Desktop,18-24,Male,Retargeting,Video Creative A,google,display
Big Weekend Push,LinkedIn,2025-10-08,187019,21854,5201,1615,18571.43,11.69,0.85,3.57,11.5,31.05,23.8,4821165.06,259.6,India,Mobile,25-34,Female,Cold Lookalike,Static Image 2,instagram,paid_social
Freedom Sale,YouTube,2025-09-26,131306,9302,4003,1241,6884.55,7.08,0.74,1.72,5.55,31.0,43.03,1591624.19,231.19,UAE,Desktop,45-54,Female,High Intent Segment,Static Image 1,instagram,cpc
Big Weekend Push,Instagram,2025-09-26,106031,11747,4782,237,31408.97,11.08,2.67,6.57,132.53,4.96,40.71,377276.28,12.01,India,Desktop,45-54,Male,High Intent Segment,Static Image 1,google,display
Back to School,Google Ads,2025-08-20,16082,1271,211,57,2654.64,7.9,2.09,12.58,46.57,27.01,16.6,253934.44,95.66,USA,Tablet,25-34,Female,Website Visitors,Video Creative A,facebook,display
New Year Promo,LinkedIn,2025-09-18,71299,1807,228,136,14072.23,2.53,7.79,61.72,103.47,59.65,12.62,83104.73,5.91,UK,Tablet,18-24,Female,Retargeting,Carousel Ad,google,organic
Summer Fest,Google Ads,2025-08-02,129272,7205,1337,185,7020.04,5.57,0.97,5.25,37.95,13.84,18.56,759730.5,108.22,USA,Mobile,45-54,Female,Cold Lookalike,Static Image 2,instagram,organic
Back to School,Facebook,2025-08-14,149137,7062,2943,1495,11830.35,4.74,1.68,4.02,7.91,50.8,41.67,5138414.29,434.34,UK,Tablet,35-44,Female,Cold Lookalike,Static Image 1,instagram,organic
Freedom Sale,Facebook,2025-09-05,33742,3293,544,77,4989.75,9.76,1.52,9.17,64.8,14.15,16.52,142896.36,28.64,USA,Mobile,25-34,Female,Retargeting,Video Creative A,facebook,organic
New Year Promo,Instagram,2025-07-26,129458,1339,613,308,1328.91,1.03,0.99,2.17,4.31,50.24,45.78,924090.5,695.37,UAE,Desktop,18-24,Other,Cold Lookalike,Static Image 1,instagram,cpc
Freedom Sale,Google Ads,2025-10-10,110057,8359,888,307,20969.63,7.6,2.51,23.61,68.3,34.57,10.62,719663.47,34.32,USA,Tablet,35-44,Female,App Users,Static Image 2,linkedin,organic
Diwali Blast Sale,LinkedIn,2025-09-05,115542,8090,2855,584,32996.35,7.0,4.08,11.56,56.5,20.46,35.29,1357923.17,41.15,USA,Tablet,35-44,Other,Retargeting,Video Creative B,instagram,paid_social
Diwali Blast Sale,YouTube,2025-09-06,178715,16629,1599,708,3239.43,9.3,0.19,2.03,4.58,44.28,9.62,1111305.09,343.06,Singapore,Mobile,35-44,Other,Cold Lookalike,Video Creative B,facebook,organic
Summer Fest,LinkedIn,2025-08-22,17173,394,75,32,14902.65,2.29,37.82,198.7,465.71,42.67,19.04,135128.5,9.07,India,Desktop,55+,Other,Website Visitors,Carousel Ad,google,organic
Diwali Blast Sale,Google Ads,2025-07-28,172383,8274,319,0,12673.7,4.8,1.53,39.73,0.0,0.0,3.86,0.0,0.0,UAE,Desktop,55+,Male,Retargeting,Video Creative A,linkedin,organic
Big Weekend Push,Facebook,2025-09-16,129552,6720,1946,1123,27371.08,5.19,4.07,14.07,24.37,57.71,28.96,2798178.3,102.23,USA,Mobile,18-24,Male,Website Visitors,Video Creative B,instagram,display
Summer Fest,Instagram,2025-10-10,58295,4114,295,68,33522.73,7.06,8.15,113.64,492.98,23.05,7.17,282247.21,8.42,Singapore,Tablet,25-34,Female,Retargeting,Reel Format,facebook,organic
Big Weekend Push,Instagram,2025-08-06,155997,18021,8660,2732,13321.38,11.55,0.74,1.54,4.88,31.55,48.06,4319785.54,324.27,USA,Desktop,55+,Female,Warm Audience,Carousel Ad,facebook,organic
New Year Promo,Instagram,2025-09-25,52525,309,57,21,21428.03,0.59,69.35,375.93,1020.38,36.84,18.45,69563.22,3.25,India,Mobile,25-34,Female,High Intent Segment,Static Image 2,instagram,organic
New Year Promo,Google Ads,2025-08-28,30930,3436,1256,458,4044.17,11.11,1.18,3.22,8.83,36.46,36.55,867987.57,214.63,UK,Mobile,35-44,Other,High Intent Segment,Reel Format,facebook,paid_social
Diwali Blast Sale,LinkedIn,2025-08-30,30066,3520,780,119,33513.42,11.71,9.52,42.97,281.63,15.26,22.16,432883.4,12.92,India,Tablet,25-34,Other,Cold Lookalike,Static Image 2,google,paid_social
Big Weekend Push,YouTube,2025-09-13,197087,8819,2896,791,13754.29,4.47,1.56,4.75,17.39,27.31,32.84,1427843.09,103.81,USA,Tablet,25-34,Female,Cold Lookalike,Video Creative B,youtube,organic
Diwali Blast Sale,LinkedIn,2025-11-03,186469,17108,5789,288,22996.29,9.17,1.34,3.97,79.85,4.97,33.84,351048.35,15.27,USA,Desktop,25-34,Other,High Intent Segment,Static Image 1,linkedin,cpc
Freedom Sale,YouTube,2025-08-04,199847,9291,1434,526,18292.32,4.65,1.97,12.76,34.78,36.68,15.43,664312.59,36.32,USA,Tablet,35-44,Male,App Users,Carousel Ad,linkedin,organic
Diwali Blast Sale,Google Ads,2025-10-07,151443,6112,1961,62,7236.18,4.04,1.18,3.69,116.71,3.16,32.08,40233.12,5.56,USA,Desktop,18-24,Male,App Users,Video Creative A,linkedin,cpc
New Year Promo,Google Ads,2025-10-25,84446,1932,809,304,8148.29,2.29,4.22,10.07,26.8,37.58,41.87,1091810.19,133.99,India,Desktop,35-44,Female,High Intent Segment,Reel Format,instagram,organic
Diwali Blast Sale,LinkedIn,2025-07-21,120295,13738,1917,1012,28097.87,11.42,2.05,14.66,27.76,52.79,13.95,3150835.08,112.14,India,Tablet,35-44,Male,App Users,Reel Format,linkedin,display
Freedom Sale,Instagram,2025-10-06,16644,877,101,39,33190.56,5.27,37.85,328.62,851.04,38.61,11.52,109271.69,3.29,Singapore,Mobile,18-24,Other,Website Visitors,Static Image 1,facebook,paid_social
Big Weekend Push,YouTube,2025-10-17,113828,4009,1014,177,394.36,3.52,0.1,0.39,2.23,17.46,25.29,489553.61,1241.39,USA,Mobile,18-24,Other,Website Visitors,Carousel Ad,facebook,display
Big Weekend Push,Instagram,2025-09-09,140851,4899,2336,1188,17643.82,3.48,3.6,7.55,14.85,50.86,47.68,913879.69,51.8,Singapore,Tablet,18-24,Female,Website Visitors,Video Creative B,facebook,paid_social
Big Weekend Push,Facebook,2025-10-06,38037,4233,910,299,14768.17,11.13,3.49,16.23,49.39,32.86,21.5,484280.78,32.79,UK,Tablet,45-54,Other,Retargeting,Video Creative B,facebook,paid_social
Back to School,Google Ads,2025-09-14,34076,2691,772,251,22205.81,7.9,8.25,28.76,88.47,32.51,28.69,777732.51,35.02,Singapore,Mobile,35-44,Other,Cold Lookalike,Reel Format,google,display
Freedom Sale,Instagram,2025-09-19,149904,10837,439,96,32753.81,7.23,3.02,74.61,341.19,21.87,4.05,343859.9,10.5,Singapore,Mobile,25-34,Male,Warm Audience,Static Image 2,facebook,paid_social
