Applicant_ID,Job_Role,Source,Applied_Date,Screen_Date,Screen_Result,Interview_Date,Interview_Result,Offer_Date,Offer_Status,Join_Date,Joined
APP-10158,Frontend Developer,Naukri,2024-08-23,2024-08-25,Passed,2024-09-02,No Show,NaT,,NaT,0
APP-10159,Data Analyst,Referral,2024-03-16,2024-03-19,Passed,2024-03-27,Rejected,NaT,,NaT,0
APP-10160,Data Engineer,Naukri,2024-02-29,2024-03-05,Passed,2024-03-14,Rejected,NaT,,NaT,0
APP-10161,Backend Developer,Careers Site,2024-11-11,2024-11-17,Failed,NaT,,NaT,,NaT,0
APP-10162,Data Analyst,Indeed,2024-06-13,2024-06-18,Passed,2024-06-22,Selected,2024-06-24,Accepted,2024-07-06,1
APP-10163,Data Engineer,Naukri,2024-11-23,2024-11-29,No Response,NaT,,NaT,,NaT,0
APP-10164,Backend Developer,Referral,2024-05-04,2024-05-10,Passed,2024-05-11,Selected,2024-05-12,Accepted,2024-05-18,1
APP-10165,HR Executive,Indeed,2024-11-04,2024-11-07,Passed,2024-11-13,No Show,NaT,,NaT,0
APP-10166,Frontend Developer,Indeed,2024-06-27,2024-06-29,Passed,2024-06-30,Selected,2024-07-03,Declined,NaT,0
APP-10167,Backend Developer,LinkedIn,2024-02-07,2024-02-08,Passed,2024-02-13,Rejected,NaT,,NaT,0
APP-10168,Backend Developer,Indeed,2024-10-15,2024-10-21,Passed,2024-10-23,Rejected,NaT,,NaT,0
APP-10169,Frontend Developer,Indeed,2024-05-02,2024-05-04,Passed,2024-05-10,Selected,2024-05-14,Accepted,2024-05-22,1
APP-10170,Data Analyst,Referral,2024-07-02,2024-07-07,Passed,2024-07-11,Rejected,NaT,,NaT,0
APP-10171,Data Analyst,LinkedIn,2024-05-09,2024-05-12,Passed,2024-05-15,Rejected,NaT,,NaT,0
APP-10172,Data Analyst,Careers Site,2024-10-08,2024-10-11,Passed,2024-10-15,Selected,2024-10-17,Accepted,2024-10-27,1
APP-10173,Data Analyst,Careers Site,2024-07-18,2024-07-20,No Response,NaT,,NaT,,NaT,0
APP-10174,Backend Developer,Referral,2024-08-05,2024-08-10,Passed,2024-08-12,Rejected,NaT,,NaT,0
APP-10175,Backend Developer,LinkedIn,2024-04-20,2024-04-24,Passed,2024-04-28,No Show,NaT,,NaT,0
APP-10176,Backend Developer,LinkedIn,2024-05-12,2024-05-17,Failed,NaT,,NaT,,NaT,0
APP-10177,Frontend Developer,Naukri,2024-04-15,2024-04-16,Passed,2024-04-25,Selected,2024-04-30,Accepted,2024-05-13,1
APP-10178,Frontend Developer,Naukri,2024-08-01,2024-08-04,Passed,2024-08-09,No Show,NaT,,NaT,0
APP-10179,Data Analyst,LinkedIn,2024-04-19,2024-04-23,Passed,2024-05-02,Selected,2024-05-08,Accepted,2024-05-20,1
APP-10180,Data Analyst,Careers Site,2024-05-28,2024-05-29,Failed,NaT,,NaT,,NaT,0
APP-10181,Data Analyst,Referral,2024-07-20,2024-07-24,Failed,NaT,,NaT,,NaT,0
APP-10182,Backend Developer,Referral,2024-06-02,2024-06-03,Passed,2024-06-07,Selected,2024-06-10,No Response,NaT,0
APP-10183,Data Engineer,LinkedIn,2024-07-28,2024-07-31,Failed,NaT,,NaT,,NaT,0
APP-10184,Data Engineer,LinkedIn,2024-01-17,2024-01-20,Passed,2024-01-23,Selected,2024-01-24,Accepted,2024-02-03,1
APP-10185,Backend Developer,Indeed,2024-06-09,2024-06-10,Failed,NaT,,NaT,,NaT,0
APP-10186,Data Analyst,Careers Site,2024-05-29,2024-05-31,Passed,2024-06-05,Selected,2024-06-06,No Response,NaT,0
APP-10187,Data Analyst,Careers Site,2024-06-25,2024-06-29,Passed,2024-07-07,Selected,2024-07-08,Accepted,2024-07-26,1
APP-10188,Data Analyst,Indeed,2024-08-02,2024-08-05,Passed,2024-08-08,Selected,2024-08-14,Accepted,2024-08-31,1
APP-10189,Business Analyst,Indeed,2024-10-12,2024-10-15,Passed,2024-10-18,Selected,2024-10-20,Accepted,2024-10-25,1
APP-10190,Frontend Developer,Referral,2024-04-23,2024-04-29,Passed,2024-05-03,Selected,2024-05-08,Accepted,2024-05-15,1
APP-10191,HR Executive,Careers Site,2024-10-14,2024-10-16,Passed,2024-10-18,Selected,2024-10-22,Declined,NaT,0
APP-10192,Frontend Developer,Indeed,2024-01-08,2024-01-09,Passed,2024-01-12,Selected,2024-01-15,Accepted,2024-01-27,1
APP-10193,Frontend Developer,Referral,2024-02-23,2024-02-24,Failed,NaT,,NaT,,NaT,0
APP-10194,Backend Developer,Referral,2024-03-07,2024-03-10,Failed,NaT,,NaT,,NaT,0
APP-10195,HR Executive,Careers Site,2024-09-20,2024-09-22,Failed,NaT,,NaT,,NaT,0
APP-10196,Data Analyst,Naukri,2024-03-28,2024-04-03,Passed,2024-04-07,No Show,NaT,,NaT,0
APP-10197,Data Engineer,LinkedIn,2024-06-30,2024-07-05,Passed,2024-07-12,No Show,NaT,,NaT,0
APP-10198,Data Analyst,Indeed,2024-01-07,2024-01-09,Passed,2024-01-16,Rejected,NaT,,NaT,0
APP-10199,Backend Developer,Indeed,2024-04-21,2024-04-26,No Response,NaT,,NaT,,NaT,0
APP-10200,Data Engineer,Careers Site,2024-10-11,2024-10-15,Failed,NaT,,NaT,,NaT,0
APP-10201,Backend Developer,Indeed,2024-10-29,2024-11-03,Passed,2024-11-05,Selected,2024-11-09,Declined,NaT,0
APP-10202,Business Analyst,Referral,2024-10-19,2024-10-25,Failed,NaT,,NaT,,NaT,0
APP-10203,Data Engineer,Careers Site,2024-08-13,2024-08-18,Passed,2024-08-22,No Show,NaT,,NaT,0
APP-10204,Backend Developer,Referral,2024-10-06,2024-10-07,No Response,NaT,,NaT,,NaT,0
APP-10205,Frontend Developer,Naukri,2024-04-29,2024-05-02,No Response,NaT,,NaT,,NaT,0
APP-10206,Backend Developer,Careers Site,2024-05-07,2024-05-08,Passed,2024-05-09,Selected,2024-05-11,Declined,NaT,0
APP-10207,Frontend Developer,Naukri,2024-07-19,2024-07-25,Passed,2024-07-29,Selected,2024-08-03,Accepted,2024-08-14,1
APP-10208,Data Analyst,Careers Site,2024-10-19,2024-10-22,Failed,NaT,,NaT,,NaT,0
APP-10209,Backend Developer,Indeed,2024-05-07,2024-05-12,Failed,NaT,,NaT,,NaT,0
APP-10210,Data Analyst,Referral,2024-02-10,2024-02-16,Passed,2024-02-21,Rejected,NaT,,NaT,0
APP-10211,Business Analyst,LinkedIn,2024-03-16,2024-03-21,Passed,2024-03-26,Selected,2024-04-01,Declined,NaT,0
APP-10212,Business Analyst,Naukri,2024-04-07,2024-04-11,Passed,2024-04-16,Selected,2024-04-21,Declined,NaT,0
APP-10213,Backend Developer,Referral,2024-07-08,2024-07-10,Passed,2024-07-12,Selected,2024-07-15,Accepted,2024-07-24,1
APP-10214,Data Engineer,Referral,2024-10-18,2024-10-21,Passed,2024-10-26,Rejected,NaT,,NaT,0
APP-10215,Backend Developer,Careers Site,2024-01-11,2024-01-15,Failed,NaT,,NaT,,NaT,0
APP-10216,Data Analyst,LinkedIn,2024-10-21,2024-10-24,No Response,NaT,,NaT,,NaT,0
APP-10217,HR Executive,Careers Site,2024-02-24,2024-03-01,Passed,2024-03-09,Selected,2024-03-13,Accepted,2024-03-20,1
APP-10218,Frontend Developer,Naukri,2024-08-14,2024-08-18,Passed,2024-08-20,Rejected,NaT,,NaT,0
APP-10219,Business Analyst,Referral,2024-03-13,2024-03-14,Passed,2024-03-15,Selected,2024-03-18,Accepted,2024-03-31,1
APP-10220,Backend Developer,Referral,2024-02-08,2024-02-11,Failed,NaT,,NaT,,NaT,0
APP-10221,Data Engineer,Referral,2024-08-16,2024-08-20,Failed,NaT,,NaT,,NaT,0
APP-10222,Business Analyst,Indeed,2024-04-11,2024-04-13,Passed,2024-04-18,Selected,2024-04-21,No Response,NaT,0
APP-10223,Data Analyst,LinkedIn,2024-01-17,2024-01-19,Failed,NaT,,NaT,,NaT,0
APP-10224,Business Analyst,Naukri,2024-10-29,2024-11-02,Passed,2024-11-10,Rejected,NaT,,NaT,0
APP-10225,HR Executive,Careers Site,2024-05-28,2024-05-29,Failed,NaT,,NaT,,NaT,0
APP-10226,Business Analyst,Indeed,2024-07-16,2024-07-17,No Response,NaT,,NaT,,NaT,0
APP-10227,Backend Developer,Referral,2024-09-24,2024-09-27,No Response,NaT,,NaT,,NaT,0
APP-10228,Data Analyst,Indeed,2024-01-26,2024-01-28,Passed,2024-01-29,Selected,2024-02-03,Accepted,2024-02-14,1
APP-10229,HR Executive,Naukri,2024-09-26,2024-10-01,Failed,NaT,,NaT,,NaT,0
APP-10230,Data Engineer,Referral,2024-06-24,2024-06-26,Passed,2024-06-28,Rejected,NaT,,NaT,0
