Employee_ID,Department,Role,Tenure_Years,Annual_Salary,Skill,Required_Level,Current_Level,Skill_Gap,Recommend_Training_Flag,Recommended_Training,Training_Count,Last_Training_Date,Last_Training_Type,Training_Cost_USD,Predicted_Improvement_pts,Predicted_Level,Estimated_Yearly_Productivity_Value_Gain_USD,Estimated_ROI_USD,Performance_Score,Predicted_Performance_Score,Data_Generated_On
EMP-1001,R&D,Technician,4.3,91060,Machine Learning,54,46,8,0,,0,,,0,0.0,46,0.0,0.0,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Domain Knowledge,55,40,15,1,Applied Workshop,2,2025-07-28 00:00:00,Classroom,399,4.58,44,343.33,-55.67,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Communication,58,40,18,1,Soft skills workshop,1,2022-04-23 00:00:00,On-the-job,362,11.83,51,886.89,524.89,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Project Management,43,23,20,1,Soft skills workshop,0,,,310,10.3,33,772.52,462.52,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,ETL,58,47,11,1,Technical Bootcamp / Mentorship,1,2024-03-28 00:00:00,Workshop,1257,10.28,57,771.14,-485.86,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Cloud,52,40,12,1,Technical Bootcamp / Mentorship,0,,,1472,12.21,52,915.85,-556.15,32.29,38.52,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Python,43,33,10,1,Technical Bootcamp / Mentorship,1,2025-08-11 00:00:00,On-the-job,863,10.0,42,749.9,-113.1,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,SQL,49,28,21,1,Technical Bootcamp / Mentorship,0,,,2394,15.59,43,1169.41,-1224.59,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Statistics,51,38,13,1,Applied Workshop,1,2023-04-08 00:00:00,Classroom,555,13.09,51,981.54,426.54,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Data Visualization,51,39,12,1,Applied Workshop,0,,,246,9.8,48,735.28,489.28,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Machine Learning,53,39,14,1,Technical Bootcamp / Mentorship,0,,,872,7.46,46,559.46,-312.54,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Domain Knowledge,55,29,26,1,Applied Workshop,1,2024-08-25 00:00:00,On-the-job,401,14.14,43,1060.58,659.58,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Communication,59,51,8,0,,1,2024-05-18 00:00:00,Workshop,0,0.0,51,0.0,0.0,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Project Management,41,14,27,1,Soft skills workshop,0,,,128,13.95,27,1046.19,918.19,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,ETL,61,51,10,1,Technical Bootcamp / Mentorship,0,,,2329,8.16,59,612.07,-1716.93,30.0,30.0,2025-11-23
EMP-1002,Quality,Technician,2.53,67339,Cloud,57,36,21,1,Technical Bootcamp / Mentorship,0,,,2451,17.15,53,1286.5,-1164.5,30.0,30.0,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Python,47,33,14,1,Technical Bootcamp / Mentorship,0,,,1119,5.67,38,425.59,-693.41,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,SQL,58,28,30,1,Technical Bootcamp / Mentorship,0,,,881,17.93,45,1345.09,464.09,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Statistics,47,37,10,1,Applied Workshop,0,,,665,8.78,45,658.29,-6.71,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Data Visualization,56,34,22,1,Applied Workshop,0,,,659,12.6,46,945.2,286.2,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Machine Learning,46,35,11,1,Technical Bootcamp / Mentorship,0,,,1041,4.38,39,328.41,-712.59,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Domain Knowledge,82,86,-4,0,,1,2023-01-29 00:00:00,On-the-job,0,0.0,86,0.0,0.0,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Communication,67,55,12,1,Soft skills workshop,1,2024-06-06 00:00:00,Mentoring,112,4.38,59,328.37,216.37,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Project Management,65,46,19,1,Soft skills workshop,0,,,302,10.94,56,820.62,518.62,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,ETL,53,36,17,1,Technical Bootcamp / Mentorship,0,,,673,8.08,44,606.37,-66.63,32.3,40.27,2025-11-23
EMP-1003,Manufacturing,Supervisor,6.16,110860,Cloud,49,41,8,0,,0,,,0,0.0,41,0.0,0.0,32.3,40.27,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Python,58,52,6,0,,1,2023-03-26 00:00:00,On-the-job,0,0.0,52,0.0,0.0,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,SQL,44,41,3,0,,0,,,0,0.0,41,0.0,0.0,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Statistics,51,39,12,1,Applied Workshop,1,2025-10-24 00:00:00,Mentoring,417,6.47,45,484.95,67.95,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Data Visualization,51,41,10,1,Applied Workshop,0,,,539,5.96,46,447.02,-91.98,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Machine Learning,56,52,4,0,,0,,,0,0.0,52,0.0,0.0,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Domain Knowledge,68,72,-4,0,,0,,,0,0.0,72,0.0,0.0,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Communication,50,36,14,1,Soft skills workshop,1,2024-02-07 00:00:00,On-the-job,291,10.3,46,772.53,481.53,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Project Management,60,49,11,1,Soft skills workshop,1,2023-11-07 00:00:00,Workshop,191,10.22,59,766.64,575.64,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,ETL,75,60,15,1,Technical Bootcamp / Mentorship,0,,,1027,10.82,70,811.71,-215.29,39.95,43.06,2025-11-23
EMP-1004,Procurement,Operator,2.06,70324,Cloud,41,20,21,1,Technical Bootcamp / Mentorship,1,2023-06-25 00:00:00,Online Course,2328,8.92,28,668.87,-1659.13,39.95,43.06,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Python,78,60,18,1,Technical Bootcamp / Mentorship,0,,,1976,11.17,71,838.02,-1137.98,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,SQL,85,62,23,1,Technical Bootcamp / Mentorship,0,,,1211,11.85,73,888.62,-322.38,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Statistics,67,65,2,0,,0,,,0,0.0,65,0.0,0.0,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Data Visualization,79,67,12,1,Applied Workshop,0,,,218,7.56,74,566.86,348.86,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Machine Learning,84,71,13,1,Technical Bootcamp / Mentorship,0,,,1693,8.04,79,603.3,-1089.7,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Domain Knowledge,41,26,15,1,Applied Workshop,0,,,636,9.49,35,711.38,75.38,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Communication,50,28,22,1,Soft skills workshop,2,2025-02-10 00:00:00,Online Course,51,12.4,40,929.94,878.94,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Project Management,51,49,2,0,,2,2025-03-01 00:00:00,Mentoring,0,0.0,49,0.0,0.0,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,ETL,79,57,22,1,Technical Bootcamp / Mentorship,0,,,2245,14.83,71,1112.5,-1132.5,40.98,40.57,2025-11-23
EMP-1005,Procurement,Analyst,2.07,79212,Cloud,69,63,6,0,,3,2025-05-14 00:00:00,Mentoring,0,0.0,63,0.0,0.0,40.98,40.57,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Python,48,29,19,1,Technical Bootcamp / Mentorship,2,2024-01-15 00:00:00,Online Course,2330,11.63,40,872.35,-1457.65,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,SQL,53,27,26,1,Technical Bootcamp / Mentorship,3,2023-09-17 00:00:00,Workshop,609,17.71,44,1327.97,718.97,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Statistics,42,46,-4,0,,1,2022-09-12 00:00:00,Workshop,0,0.0,46,0.0,0.0,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Data Visualization,52,48,4,0,,1,2023-09-13 00:00:00,On-the-job,0,0.0,48,0.0,0.0,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Machine Learning,51,42,9,0,,1,2022-12-23 00:00:00,Mentoring,0,0.0,42,0.0,0.0,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Domain Knowledge,55,26,29,1,Applied Workshop,1,2021-11-07 00:00:00,Workshop,477,16.52,42,1239.35,762.35,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Communication,42,21,21,1,Soft skills workshop,1,2023-08-16 00:00:00,Classroom,80,12.55,33,941.36,861.36,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Project Management,55,39,16,1,Soft skills workshop,0,,,189,9.07,48,680.05,491.05,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,ETL,74,59,15,1,Technical Bootcamp / Mentorship,1,2024-12-23 00:00:00,On-the-job,1209,6.99,65,524.08,-684.92,30.0,34.09,2025-11-23
EMP-1006,Manufacturing,Operator,3.48,45000,Cloud,44,25,19,1,Technical Bootcamp / Mentorship,0,,,2320,9.49,34,711.98,-1608.02,30.0,34.09,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Python,44,25,19,1,Technical Bootcamp / Mentorship,0,,,1677,13.06,38,979.73,-697.27,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,SQL,41,29,12,1,Technical Bootcamp / Mentorship,1,2025-05-27 00:00:00,On-the-job,2385,9.53,38,715.07,-1669.93,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Statistics,52,43,9,0,,0,,,0,0.0,43,0.0,0.0,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Data Visualization,41,24,17,1,Applied Workshop,1,2021-02-23 00:00:00,Online Course,781,9.09,33,681.68,-99.32,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Machine Learning,56,40,16,1,Technical Bootcamp / Mentorship,1,2021-08-04 00:00:00,Mentoring,2294,7.25,47,543.96,-1750.04,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Domain Knowledge,57,55,2,0,,0,,,0,0.0,55,0.0,0.0,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Communication,43,28,15,1,Soft skills workshop,1,2023-08-10 00:00:00,Workshop,142,10.09,38,756.52,614.52,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Project Management,44,34,10,1,Soft skills workshop,0,,,192,3.24,37,243.1,51.1,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,ETL,59,39,20,1,Technical Bootcamp / Mentorship,0,,,2424,12.09,51,906.49,-1517.51,30.0,34.05,2025-11-23
EMP-1007,Manufacturing,Technician,0.45,62909,Cloud,58,50,8,0,,1,2021-02-09 00:00:00,Workshop,0,0.0,50,0.0,0.0,30.0,34.05,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Python,52,35,17,1,Technical Bootcamp / Mentorship,1,2022-07-25 00:00:00,On-the-job,2234,13.66,48,1024.7,-1209.3,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,SQL,48,33,15,1,Technical Bootcamp / Mentorship,1,2022-02-26 00:00:00,Mentoring,878,10.71,43,803.62,-74.38,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Statistics,44,28,16,1,Applied Workshop,1,2022-11-03 00:00:00,Mentoring,401,10.71,38,803.41,402.41,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Data Visualization,46,22,24,1,Applied Workshop,0,,,250,16.12,38,1209.34,959.34,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Machine Learning,56,34,22,1,Technical Bootcamp / Mentorship,1,2022-11-06 00:00:00,Mentoring,756,14.69,48,1101.94,345.94,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Domain Knowledge,83,64,19,1,Applied Workshop,1,2021-12-01 00:00:00,Online Course,759,10.74,74,805.51,46.51,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Communication,68,56,12,1,Soft skills workshop,0,,,297,7.59,63,569.11,272.11,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Project Management,81,60,21,1,Soft skills workshop,0,,,348,12.52,72,938.76,590.76,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,ETL,53,36,17,1,Technical Bootcamp / Mentorship,0,,,544,9.15,45,686.13,142.13,30.0,33.76,2025-11-23
EMP-1008,Quality,Manager,0.97,97242,Cloud,45,33,12,1,Technical Bootcamp / Mentorship,1,2024-12-24 00:00:00,Workshop,1437,7.07,40,530.14,-906.86,30.0,33.76,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Python,43,44,-1,0,,0,,,0,0.0,44,0.0,0.0,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,SQL,41,22,19,1,Technical Bootcamp / Mentorship,1,2025-04-12 00:00:00,Mentoring,2236,12.26,34,919.63,-1316.37,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Statistics,44,30,14,1,Applied Workshop,2,2025-03-11 00:00:00,Online Course,445,7.92,37,593.81,148.81,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Data Visualization,42,38,4,0,,1,2024-07-18 00:00:00,Classroom,0,0.0,38,0.0,0.0,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Machine Learning,51,38,13,1,Technical Bootcamp / Mentorship,2,2022-01-22 00:00:00,On-the-job,2093,8.71,46,653.51,-1439.49,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Domain Knowledge,66,55,11,1,Applied Workshop,0,,,558,3.92,58,293.81,-264.19,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Communication,51,34,17,1,Soft skills workshop,0,,,72,9.57,43,717.59,645.59,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Project Management,60,40,20,1,Soft skills workshop,1,2021-10-01 00:00:00,Workshop,288,15.93,55,1194.8,906.8,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,ETL,72,63,9,0,,3,2025-04-26 00:00:00,Workshop,0,0.0,63,0.0,0.0,32.12,31.75,2025-11-23
EMP-1009,Procurement,Operator,1.18,45000,Cloud,56,44,12,1,Technical Bootcamp / Mentorship,1,2022-08-15 00:00:00,On-the-job,1464,5.98,49,448.58,-1015.42,32.12,31.75,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Python,47,35,12,1,Technical Bootcamp / Mentorship,0,,,1535,6.71,41,502.92,-1032.08,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,SQL,40,19,21,1,Technical Bootcamp / Mentorship,0,,,1293,12.99,31,974.31,-318.69,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Statistics,53,32,21,1,Applied Workshop,1,2023-06-06 00:00:00,Classroom,602,13.02,45,976.59,374.59,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Data Visualization,48,41,7,0,,1,2022-12-17 00:00:00,Online Course,0,0.0,41,0.0,0.0,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Machine Learning,47,39,8,0,,0,,,0,0.0,39,0.0,0.0,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Domain Knowledge,61,50,11,1,Applied Workshop,1,2024-08-30 00:00:00,On-the-job,670,5.44,55,408.04,-261.96,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Communication,49,30,19,1,Soft skills workshop,0,,,71,10.1,40,757.29,686.29,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Project Management,52,42,10,1,Soft skills workshop,0,,,391,3.94,45,295.26,-95.74,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,ETL,75,59,16,1,Technical Bootcamp / Mentorship,0,,,823,10.61,69,795.9,-27.1,30.0,34.44,2025-11-23
EMP-1010,Procurement,Technician,5.93,67452,Cloud,42,16,26,1,Technical Bootcamp / Mentorship,0,,,1860,15.09,31,1131.39,-728.61,30.0,34.44,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Python,85,49,36,1,Technical Bootcamp / Mentorship,0,,,2192,20.0,69,1500.0,-692.0,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,SQL,84,75,9,0,,0,,,0,0.0,75,0.0,0.0,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Statistics,81,59,22,1,Applied Workshop,1,2022-08-01 00:00:00,Online Course,558,17.2,76,1290.26,732.26,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Data Visualization,68,50,18,1,Applied Workshop,0,,,479,8.07,58,605.54,126.54,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Machine Learning,85,73,12,1,Technical Bootcamp / Mentorship,0,,,1703,5.77,78,432.41,-1270.59,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Domain Knowledge,49,34,15,1,Applied Workshop,0,,,241,4.35,38,326.3,85.3,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Communication,48,29,19,1,Soft skills workshop,1,2024-01-13 00:00:00,Online Course,257,9.7,38,727.87,470.87,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Project Management,45,41,4,0,,0,,,0,0.0,41,0.0,0.0,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,ETL,69,59,10,1,Technical Bootcamp / Mentorship,0,,,2046,2.89,61,216.62,-1829.38,38.51,43.35,2025-11-23
EMP-1011,Procurement,Analyst,3.14,66265,Cloud,67,54,13,1,Technical Bootcamp / Mentorship,0,,,1539,9.79,63,734.44,-804.56,38.51,43.35,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Python,65,52,13,1,Technical Bootcamp / Mentorship,0,,,1734,6.12,58,459.24,-1274.76,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,SQL,84,73,11,1,Technical Bootcamp / Mentorship,0,,,1972,5.96,78,446.75,-1525.25,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Statistics,81,87,-6,0,,1,2025-10-09 00:00:00,Online Course,0,0.0,87,0.0,0.0,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Data Visualization,70,49,21,1,Applied Workshop,1,2024-08-09 00:00:00,Classroom,761,12.69,61,951.64,190.64,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Machine Learning,65,49,16,1,Technical Bootcamp / Mentorship,0,,,706,8.53,57,639.49,-66.51,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Domain Knowledge,58,34,24,1,Applied Workshop,0,,,611,17.63,51,1322.39,711.39,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Communication,41,32,9,0,,0,,,0,0.0,32,0.0,0.0,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Project Management,54,41,13,1,Soft skills workshop,0,,,283,10.02,51,751.23,468.23,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,ETL,74,49,25,1,Technical Bootcamp / Mentorship,2,2022-10-31 00:00:00,Classroom,1387,14.62,63,1096.4,-290.6,30.0,39.76,2025-11-23
EMP-1012,Quality,Analyst,1.91,86997,Cloud,66,62,4,0,,2,2021-04-24 00:00:00,Online Course,0,0.0,62,0.0,0.0,30.0,39.76,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Python,82,78,4,0,,1,2021-12-11 00:00:00,Mentoring,0,0.0,78,0.0,0.0,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,SQL,78,71,7,0,,1,2025-08-05 00:00:00,Workshop,0,0.0,71,0.0,0.0,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Statistics,85,57,28,1,Applied Workshop,0,,,562,18.69,75,1401.52,839.52,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Data Visualization,73,76,-3,0,,1,2022-05-04 00:00:00,Classroom,0,0.0,76,0.0,0.0,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Machine Learning,75,64,11,1,Technical Bootcamp / Mentorship,1,2025-07-26 00:00:00,Mentoring,1835,7.79,71,584.61,-1250.39,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Domain Knowledge,48,40,8,0,,0,,,0,0.0,40,0.0,0.0,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Communication,50,45,5,0,,0,,,0,0.0,45,0.0,0.0,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Project Management,54,42,12,1,Soft skills workshop,0,,,188,5.43,47,407.23,219.23,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,ETL,65,70,-5,0,,0,,,0,0.0,70,0.0,0.0,32.85,43.08,2025-11-23
EMP-1013,Procurement,Engineer,0.7,83071,Cloud,67,51,16,1,Technical Bootcamp / Mentorship,0,,,1785,9.14,60,685.14,-1099.86,32.85,43.08,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Python,41,38,3,0,,4,2024-03-02 00:00:00,Mentoring,0,0.0,38,0.0,0.0,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,SQL,41,32,9,0,,0,,,0,0.0,32,0.0,0.0,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Statistics,43,29,14,1,Applied Workshop,1,2022-03-03 00:00:00,Workshop,210,4.03,33,302.14,92.14,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Data Visualization,50,39,11,1,Applied Workshop,0,,,318,7.36,46,552.01,234.01,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Machine Learning,52,39,13,1,Technical Bootcamp / Mentorship,1,2022-05-09 00:00:00,Online Course,1114,6.95,45,520.9,-593.1,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Domain Knowledge,69,37,32,1,Applied Workshop,1,2022-08-12 00:00:00,Mentoring,448,19.99,56,1499.53,1051.53,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Communication,50,33,17,1,Soft skills workshop,0,,,298,11.3,44,847.66,549.66,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Project Management,56,37,19,1,Soft skills workshop,1,2025-09-05 00:00:00,Mentoring,271,11.1,48,832.45,561.45,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,ETL,67,57,10,1,Technical Bootcamp / Mentorship,1,2021-01-10 00:00:00,Mentoring,849,10.5,67,787.57,-61.43,30.0,36.07,2025-11-23
EMP-1014,Manufacturing,Technician,1.8,66562,Cloud,49,38,11,1,Technical Bootcamp / Mentorship,0,,,1104,9.62,47,721.45,-382.55,30.0,36.07,2025-11-23
EMP-1015,Logistics,Engineer,1.8,103005,Python,83,91,-8,0,,0,,,0,0.0,91,0.0,0.0,31.87,41.16,2025-11-23
EMP-1015,Logistics,Engineer,1.8,103005,SQL,68,47,21,1,Technical Bootcamp / Mentorship,0,,,1673,13.65,60,1023.65,-649.35,31.87,41.16,2025-11-23
