Timestamp,Machine_ID,Machine_Type,Fuel_Type,Shift,Operator_ID,Energy_Consumption_kWh,Energy_Predicted_kWh,Baseload_Drift_kWh,Cooling_Load_kWh,Fuel_Consumption,Compressed_Air_CFM,Voltage_Instability,Power_Factor,Ambient_Temp_C,Output_Units,Energy_Intensity_kWh_per_Unit,Peak_Load_Flag,Idle_Flag,Wastage_Severity,CO2_Emissions_kg
2024-01-01 23:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.721,10.798,0.547,0.0,1.964,12.81,24.92,0.896,13.87,11,0.9746,0,0,-0.01,5.11
2024-01-02 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,9.158,8.894,6.82,0.0,1.732,12.85,19.0,0.845,20.06,16,0.5724,0,0,0.03,4.5
2024-01-02 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,11.851,10.746,1.766,0.0,2.22,23.27,1.58,0.957,18.0,24,0.4938,0,0,0.1,5.77
2024-01-02 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,11.955,12.445,5.234,0.153,2.284,15.32,2.99,0.85,23.02,21,0.5693,0,0,-0.04,5.94
2024-01-02 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,9.135,9.462,5.428,0.276,1.753,37.75,31.67,0.902,23.84,16,0.5709,0,0,-0.03,4.56
2024-01-02 04:00:00,MCH-1000,CNC,Diesel,C,OP-104,10.763,10.702,2.965,0.551,2.106,8.13,8.84,0.922,25.67,19,0.5665,0,0,0.01,5.48
2024-01-02 05:00:00,MCH-1000,CNC,Diesel,C,OP-105,9.797,9.959,4.271,0.66,1.799,29.98,13.15,0.791,26.4,10,0.9797,0,0,-0.02,4.68
2024-01-02 06:00:00,MCH-1000,CNC,Diesel,A,OP-106,11.399,10.924,2.949,1.23,2.202,36.02,19.58,0.881,30.2,21,0.5428,0,0,0.04,5.72
2024-01-02 07:00:00,MCH-1000,CNC,Diesel,A,OP-100,22.109,22.393,2.295,1.423,4.069,36.23,15.98,0.94,31.48,31,0.7132,0,0,-0.01,10.58
2024-01-02 08:00:00,MCH-1000,CNC,Diesel,A,OP-101,24.587,22.656,3.289,0.43,4.437,58.55,14.63,0.873,24.87,35,0.7025,0,0,0.09,11.54
2024-01-02 09:00:00,MCH-1000,CNC,Diesel,A,OP-102,23.083,24.055,5.556,0.331,4.319,66.51,3.06,0.938,24.2,34,0.6789,0,0,-0.04,11.23
2024-01-02 10:00:00,MCH-1000,CNC,Diesel,A,OP-103,21.558,19.584,3.823,0.593,3.965,79.0,0.29,0.83,25.95,35,0.6159,0,0,0.1,10.31
2024-01-02 11:00:00,MCH-1000,CNC,Diesel,A,OP-104,23.872,24.934,4.584,0.0,4.372,35.73,1.33,0.863,21.57,38,0.6282,0,0,-0.04,11.37
2024-01-02 12:00:00,MCH-1000,CNC,Diesel,A,OP-105,23.243,22.956,3.471,0.0,4.378,55.04,21.77,0.928,16.45,46,0.5053,0,0,0.01,11.38
2024-01-02 13:00:00,MCH-1000,CNC,Diesel,A,OP-106,21.595,19.687,4.924,0.0,3.925,47.23,11.76,0.932,12.51,28,0.7713,0,0,0.1,10.2
2024-01-02 14:00:00,MCH-1000,CNC,Diesel,B,OP-100,25.604,26.835,4.882,0.0,4.746,27.82,19.8,0.972,11.85,43,0.5954,0,0,-0.05,12.34
2024-01-02 15:00:00,MCH-1000,CNC,Diesel,B,OP-101,22.498,21.171,1.493,0.0,4.218,75.44,1.3,0.757,11.61,32,0.7031,0,0,0.06,10.97
2024-01-02 16:00:00,MCH-1000,CNC,Diesel,B,OP-102,22.948,22.781,2.564,0.0,4.221,24.7,1.8,0.906,10.59,40,0.5737,0,0,0.01,10.97
2024-01-02 17:00:00,MCH-1000,CNC,Diesel,B,OP-103,20.294,19.972,2.806,0.0,3.807,49.96,30.71,0.888,8.83,39,0.5204,0,0,0.02,9.9
2024-01-02 18:00:00,MCH-1000,CNC,Diesel,B,OP-104,23.6,24.44,4.377,0.0,4.389,30.46,15.88,0.792,10.74,32,0.7375,0,0,-0.03,11.41
2024-01-02 19:00:00,MCH-1000,CNC,Diesel,B,OP-105,19.973,18.749,0.0,0.0,3.72,68.85,20.02,0.879,7.37,35,0.5707,0,0,0.07,9.67
2024-01-02 20:00:00,MCH-1000,CNC,Diesel,B,OP-106,11.248,11.636,0.0,0.0,2.151,16.25,5.5,0.833,9.16,16,0.703,0,0,-0.03,5.59
2024-01-02 21:00:00,MCH-1000,CNC,Diesel,B,OP-100,9.996,9.129,2.781,0.0,1.807,10.96,7.14,0.839,10.04,12,0.833,0,0,0.09,4.7
2024-01-02 22:00:00,MCH-1000,CNC,Diesel,C,OP-101,9.973,10.181,2.393,0.0,1.896,30.69,10.5,0.891,10.6,16,0.6233,0,0,-0.02,4.93
2024-01-02 23:00:00,MCH-1000,CNC,Diesel,C,OP-102,9.962,10.083,4.268,0.0,1.89,27.73,18.42,0.849,14.32,8,1.2453,0,0,-0.01,4.91
2024-01-03 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,11.74,10.601,8.403,0.0,2.135,24.53,24.1,0.89,20.24,15,0.7827,0,0,0.11,5.55
2024-01-03 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,8.059,7.855,2.226,0.0,1.629,22.13,5.26,0.933,19.04,16,0.5037,0,0,0.03,4.23
2024-01-03 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.333,9.852,5.829,0.312,1.946,11.59,13.13,0.811,24.08,21,0.4921,0,0,0.05,5.06
2024-01-03 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,13.612,12.833,3.52,0.352,2.481,19.87,3.58,0.861,24.35,20,0.6806,0,0,0.06,6.45
2024-01-03 04:00:00,MCH-1000,CNC,Diesel,C,OP-104,10.307,10.714,3.757,0.684,1.878,21.07,8.65,0.918,26.56,19,0.5425,0,0,-0.04,4.88
2024-01-03 05:00:00,MCH-1000,CNC,Diesel,C,OP-105,10.128,9.483,5.989,1.129,1.86,15.77,11.43,0.894,29.53,4,2.5319,0,0,0.07,4.84
2024-01-03 06:00:00,MCH-1000,CNC,Diesel,A,OP-106,10.576,9.619,4.366,0.402,1.934,24.72,9.78,0.882,24.68,14,0.7554,0,0,0.1,5.03
2024-01-03 07:00:00,MCH-1000,CNC,Diesel,A,OP-100,21.628,22.481,4.567,1.181,4.012,49.08,11.57,0.791,29.87,32,0.6759,0,0,-0.04,10.43
2024-01-03 08:00:00,MCH-1000,CNC,Diesel,A,OP-101,22.744,21.03,3.452,0.652,4.209,80.07,5.06,0.859,26.35,36,0.6318,0,0,0.08,10.94
2024-01-03 09:00:00,MCH-1000,CNC,Diesel,A,OP-102,22.83,21.838,5.021,0.0,4.285,43.15,5.41,0.867,20.65,41,0.5568,0,0,0.05,11.14
2024-01-03 10:00:00,MCH-1000,CNC,Diesel,A,OP-103,19.68,18.057,3.34,0.653,3.589,72.18,12.44,0.769,26.35,33,0.5964,0,0,0.09,9.33
2024-01-03 11:00:00,MCH-1000,CNC,Diesel,A,OP-104,24.261,24.705,4.25,0.0,4.526,64.67,6.01,0.928,18.84,39,0.6221,0,0,-0.02,11.77
2024-01-03 12:00:00,MCH-1000,CNC,Diesel,A,OP-105,21.243,19.471,4.683,0.0,3.83,55.97,7.18,0.897,16.29,40,0.5311,0,0,0.09,9.96
2024-01-03 13:00:00,MCH-1000,CNC,Diesel,A,OP-106,23.531,23.093,2.573,0.0,4.38,66.66,8.29,0.949,14.56,40,0.5883,0,0,0.02,11.39
2024-01-03 14:00:00,MCH-1000,CNC,Diesel,B,OP-100,20.355,18.375,0.366,0.0,3.756,81.61,4.2,0.824,15.99,45,0.4523,0,0,0.11,9.77
2024-01-03 15:00:00,MCH-1000,CNC,Diesel,B,OP-101,25.14,25.403,4.286,0.0,4.556,58.72,6.63,0.813,11.36,45,0.5587,0,0,-0.01,11.85
2024-01-03 16:00:00,MCH-1000,CNC,Diesel,B,OP-102,21.242,20.83,3.401,0.0,3.942,41.96,2.37,0.859,11.53,30,0.7081,0,0,0.02,10.25
2024-01-03 17:00:00,MCH-1000,CNC,Diesel,B,OP-103,20.127,18.647,4.348,0.0,3.713,28.33,12.28,0.824,10.88,32,0.629,0,0,0.08,9.65
2024-01-03 18:00:00,MCH-1000,CNC,Diesel,B,OP-104,18.721,17.037,2.927,0.0,3.486,51.2,4.03,0.825,9.39,41,0.4566,0,0,0.1,9.06
2024-01-03 19:00:00,MCH-1000,CNC,Diesel,B,OP-105,22.078,20.087,4.425,0.0,4.012,17.81,2.33,1.0,8.11,33,0.669,0,0,0.1,10.43
2024-01-03 20:00:00,MCH-1000,CNC,Diesel,B,OP-106,11.065,11.028,0.0,0.0,2.072,25.62,5.14,0.861,11.52,11,1.0059,0,0,0.0,5.39
2024-01-03 21:00:00,MCH-1000,CNC,Diesel,B,OP-100,9.322,9.329,3.194,0.0,1.81,7.07,11.59,0.845,11.9,12,0.7768,0,0,-0.0,4.71
2024-01-03 22:00:00,MCH-1000,CNC,Diesel,C,OP-101,10.122,10.124,1.287,0.0,1.842,14.35,10.66,0.902,14.43,14,0.723,0,0,-0.0,4.79
2024-01-03 23:00:00,MCH-1000,CNC,Diesel,C,OP-102,12.04,11.522,1.758,0.0,2.346,41.51,26.47,0.818,12.07,17,0.7082,0,0,0.04,6.1
2024-01-04 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,8.557,8.816,1.191,0.0,1.651,17.31,3.17,0.875,21.51,11,0.7779,0,0,-0.03,4.29
2024-01-04 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,11.838,11.112,3.258,0.0,2.135,17.34,20.19,0.988,19.92,21,0.5637,0,0,0.07,5.55
2024-01-04 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.84,10.816,3.34,0.254,1.986,16.93,2.94,0.831,23.7,19,0.5705,0,0,0.0,5.16
2024-01-04 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,7.893,7.557,4.181,0.947,1.554,9.94,23.56,0.872,28.31,16,0.4933,0,0,0.04,4.04
2024-01-04 04:00:00,MCH-1000,CNC,Diesel,C,OP-104,9.74,9.816,4.166,0.481,1.77,25.6,9.17,0.81,25.21,12,0.8116,0,0,-0.01,4.6
2024-01-04 05:00:00,MCH-1000,CNC,Diesel,C,OP-105,8.865,8.047,0.408,1.473,1.783,26.34,4.57,0.91,31.82,8,1.1082,0,0,0.1,4.64
2024-01-04 06:00:00,MCH-1000,CNC,Diesel,A,OP-106,14.516,13.601,5.211,0.689,2.634,13.15,0.52,0.969,26.59,21,0.6913,0,0,0.07,6.85
2024-01-04 07:00:00,MCH-1000,CNC,Diesel,A,OP-100,26.293,25.801,4.19,0.523,4.851,47.16,13.94,0.814,25.48,41,0.6413,0,0,0.02,12.61
2024-01-04 08:00:00,MCH-1000,CNC,Diesel,A,OP-101,24.183,22.42,4.235,1.023,4.491,80.68,1.05,0.797,28.82,40,0.6046,0,0,0.08,11.68
2024-01-04 09:00:00,MCH-1000,CNC,Diesel,A,OP-102,24.153,24.797,3.531,0.595,4.542,87.01,3.2,0.936,25.96,37,0.6528,0,0,-0.03,11.81
2024-01-04 10:00:00,MCH-1000,CNC,Diesel,A,OP-103,23.69,21.554,3.468,0.011,4.31,25.55,3.33,0.856,22.08,44,0.5384,0,0,0.1,11.21
2024-01-04 11:00:00,MCH-1000,CNC,Diesel,A,OP-104,21.965,19.849,0.116,0.0,4.079,76.59,15.65,0.813,19.29,37,0.5937,0,0,0.11,10.61
2024-01-04 12:00:00,MCH-1000,CNC,Diesel,A,OP-105,24.238,22.682,2.453,0.0,4.459,62.4,6.68,0.953,20.82,44,0.5509,0,0,0.07,11.59
2024-01-04 13:00:00,MCH-1000,CNC,Diesel,A,OP-106,21.757,21.799,1.978,0.0,3.963,17.52,15.76,0.783,13.4,31,0.7018,0,0,-0.0,10.3
2024-01-04 14:00:00,MCH-1000,CNC,Diesel,B,OP-100,24.127,22.549,3.227,0.0,4.466,29.33,2.5,0.905,14.35,41,0.5885,0,0,0.07,11.61
2024-01-04 15:00:00,MCH-1000,CNC,Diesel,B,OP-101,25.943,26.3,2.318,0.0,4.74,22.5,9.34,0.861,12.04,38,0.6827,1,0,-0.01,12.32
2024-01-04 16:00:00,MCH-1000,CNC,Diesel,B,OP-102,22.126,22.863,2.395,0.0,4.027,52.21,23.21,0.97,10.61,32,0.6914,0,0,-0.03,10.47
2024-01-04 17:00:00,MCH-1000,CNC,Diesel,B,OP-103,22.901,22.314,5.102,0.0,4.204,41.84,1.57,0.924,6.64,32,0.7156,0,0,0.03,10.93
2024-01-04 18:00:00,MCH-1000,CNC,Diesel,B,OP-104,22.344,21.004,3.282,0.0,4.118,57.38,7.34,0.932,10.38,38,0.588,0,0,0.06,10.71
2024-01-04 19:00:00,MCH-1000,CNC,Diesel,B,OP-105,26.012,26.065,3.815,0.0,4.856,76.51,6.33,0.905,10.21,45,0.5781,0,0,-0.0,12.62
2024-01-04 20:00:00,MCH-1000,CNC,Diesel,B,OP-106,13.204,11.896,3.033,0.0,2.444,39.54,5.53,0.86,9.63,21,0.6288,0,0,0.11,6.35
2024-01-04 21:00:00,MCH-1000,CNC,Diesel,B,OP-100,13.147,12.044,0.845,0.0,2.418,34.52,1.35,0.955,10.98,21,0.6261,0,0,0.09,6.29
2024-01-04 22:00:00,MCH-1000,CNC,Diesel,C,OP-101,11.933,10.86,3.151,0.0,2.274,41.03,6.7,0.89,13.56,22,0.5424,0,0,0.1,5.91
2024-01-04 23:00:00,MCH-1000,CNC,Diesel,C,OP-102,8.289,7.491,4.906,0.0,1.666,35.05,1.92,0.898,14.45,12,0.6908,0,0,0.11,4.33
2024-01-05 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,13.026,13.079,2.39,0.0,2.399,51.27,21.72,0.77,21.76,23,0.5663,0,0,-0.0,6.24
2024-01-05 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,10.47,9.854,5.477,0.0,2.073,20.13,17.2,0.819,20.14,22,0.4759,0,0,0.06,5.39
2024-01-05 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.74,11.226,2.91,0.256,1.976,8.04,18.77,0.952,23.7,17,0.6318,0,0,-0.04,5.14
2024-01-05 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,12.552,11.358,2.928,0.673,2.428,39.0,10.84,0.833,26.49,21,0.5977,0,0,0.11,6.31
2024-01-05 04:00:00,MCH-1000,CNC,Diesel,C,OP-104,11.369,10.342,3.161,1.131,2.07,11.7,10.15,0.97,29.54,17,0.6688,0,0,0.1,5.38
2024-01-05 05:00:00,MCH-1000,CNC,Diesel,C,OP-105,7.821,7.602,4.243,0.659,1.499,5.89,14.94,0.871,26.39,11,0.711,0,0,0.03,3.9
2024-01-05 06:00:00,MCH-1000,CNC,Diesel,A,OP-106,8.578,8.515,4.609,1.028,1.7,6.49,14.5,0.878,28.85,13,0.6598,0,0,0.01,4.42
2024-01-05 07:00:00,MCH-1000,CNC,Diesel,A,OP-100,21.673,19.937,6.257,0.586,3.971,16.14,0.56,0.871,25.91,31,0.6991,0,0,0.09,10.33
2024-01-05 08:00:00,MCH-1000,CNC,Diesel,A,OP-101,26.45,26.618,2.364,0.871,4.795,25.58,20.99,0.926,27.81,42,0.6298,0,0,-0.01,12.47
2024-01-05 09:00:00,MCH-1000,CNC,Diesel,A,OP-102,22.33,22.834,4.437,0.287,4.182,20.1,16.34,0.886,23.91,39,0.5726,0,0,-0.02,10.87
2024-01-05 10:00:00,MCH-1000,CNC,Diesel,A,OP-103,25.155,26.322,6.181,0.209,4.544,22.23,9.77,0.856,23.4,41,0.6135,1,0,-0.04,11.81
2024-01-05 11:00:00,MCH-1000,CNC,Diesel,A,OP-104,22.32,23.423,2.433,0.0,4.117,58.25,16.94,0.833,21.83,41,0.5444,0,0,-0.05,10.7
2024-01-05 12:00:00,MCH-1000,CNC,Diesel,A,OP-105,23.082,23.345,4.324,0.0,4.169,17.34,3.86,0.797,15.95,39,0.5918,0,0,-0.01,10.84
2024-01-05 13:00:00,MCH-1000,CNC,Diesel,A,OP-106,21.648,21.407,1.817,0.0,4.042,53.72,30.03,0.798,12.29,36,0.6013,0,0,0.01,10.51
2024-01-05 14:00:00,MCH-1000,CNC,Diesel,B,OP-100,26.874,25.183,2.274,0.0,4.98,91.37,8.25,0.846,13.79,41,0.6555,0,0,0.07,12.95
2024-01-05 15:00:00,MCH-1000,CNC,Diesel,B,OP-101,24.482,22.982,5.067,0.0,4.525,29.4,3.53,0.899,6.46,40,0.6121,0,0,0.07,11.77
2024-01-05 16:00:00,MCH-1000,CNC,Diesel,B,OP-102,22.125,21.342,2.535,0.0,4.176,44.8,1.15,0.816,10.03,38,0.5822,0,0,0.04,10.86
2024-01-05 17:00:00,MCH-1000,CNC,Diesel,B,OP-103,22.851,22.193,1.006,0.0,4.147,17.17,7.81,0.922,6.66,41,0.5573,0,0,0.03,10.78
2024-01-05 18:00:00,MCH-1000,CNC,Diesel,B,OP-104,23.974,21.718,5.014,0.0,4.356,23.99,1.07,0.878,8.48,41,0.5847,0,0,0.1,11.33
2024-01-05 19:00:00,MCH-1000,CNC,Diesel,B,OP-105,22.815,23.504,1.597,0.0,4.208,18.18,6.73,0.887,7.96,39,0.585,0,0,-0.03,10.94
2024-01-05 20:00:00,MCH-1000,CNC,Diesel,B,OP-106,10.436,10.911,6.764,0.0,1.906,9.2,16.62,0.828,9.06,22,0.4744,0,0,-0.04,4.96
2024-01-05 21:00:00,MCH-1000,CNC,Diesel,B,OP-100,9.198,9.131,2.232,0.0,1.691,26.54,2.46,0.878,13.08,22,0.4181,0,0,0.01,4.4
2024-01-05 22:00:00,MCH-1000,CNC,Diesel,C,OP-101,11.564,12.141,5.138,0.0,2.125,30.92,24.5,0.823,15.37,19,0.6086,0,0,-0.05,5.52
2024-01-05 23:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.008,10.01,2.891,0.0,1.949,33.68,21.53,0.796,16.09,11,0.9098,0,0,-0.0,5.07
2024-01-06 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,11.998,11.511,2.817,0.0,2.323,12.16,2.6,0.881,20.75,14,0.857,0,0,0.04,6.04
2024-01-06 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,8.108,8.11,5.878,0.0,1.534,11.88,4.55,0.888,17.48,11,0.7371,0,0,-0.0,3.99
2024-01-06 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.715,10.62,4.933,0.053,2.032,21.43,20.84,0.798,22.35,19,0.5639,0,0,0.01,5.28
2024-01-06 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,14.892,13.63,4.261,0.385,2.866,12.28,5.88,0.871,24.57,25,0.5957,0,0,0.09,7.45
2024-01-06 04:00:00,MCH-1000,CNC,Diesel,C,OP-104,8.057,7.751,1.673,0.368,1.611,19.61,13.77,0.801,24.45,9,0.8953,0,0,0.04,4.19
2024-01-06 05:00:00,MCH-1000,CNC,Diesel,C,OP-105,12.034,11.294,3.046,0.558,2.271,36.09,8.27,0.888,25.72,16,0.7521,0,0,0.07,5.91
2024-01-06 06:00:00,MCH-1000,CNC,Diesel,A,OP-106,10.945,10.224,3.68,1.309,1.979,29.08,1.83,0.907,30.73,17,0.6438,0,0,0.07,5.14
2024-01-06 07:00:00,MCH-1000,CNC,Diesel,A,OP-100,23.521,22.139,1.164,1.194,4.414,41.62,4.51,0.917,29.96,34,0.6918,0,0,0.06,11.48
2024-01-06 08:00:00,MCH-1000,CNC,Diesel,A,OP-101,23.836,22.227,2.195,0.783,4.415,47.92,17.81,0.895,27.22,39,0.6112,0,0,0.07,11.48
2024-01-06 09:00:00,MCH-1000,CNC,Diesel,A,OP-102,24.958,22.973,5.995,0.0,4.571,61.23,4.02,0.896,22.0,38,0.6568,0,0,0.09,11.88
2024-01-06 10:00:00,MCH-1000,CNC,Diesel,A,OP-103,23.435,21.393,6.085,0.0,4.357,84.56,8.53,0.961,21.89,33,0.7102,0,0,0.1,11.33
2024-01-06 11:00:00,MCH-1000,CNC,Diesel,A,OP-104,21.333,20.928,2.132,0.0,3.944,19.8,2.96,0.849,19.42,39,0.547,0,0,0.02,10.25
2024-01-06 12:00:00,MCH-1000,CNC,Diesel,A,OP-105,24.366,23.985,0.01,0.0,4.452,66.65,25.09,0.901,18.75,35,0.6962,0,0,0.02,11.58
2024-01-06 13:00:00,MCH-1000,CNC,Diesel,A,OP-106,21.672,22.09,4.35,0.0,3.991,71.45,1.22,0.946,13.58,32,0.6772,0,0,-0.02,10.38
2024-01-06 14:00:00,MCH-1000,CNC,Diesel,B,OP-100,20.884,21.245,5.316,0.0,3.863,57.27,2.88,0.865,13.28,35,0.5967,0,0,-0.02,10.04
2024-01-06 15:00:00,MCH-1000,CNC,Diesel,B,OP-101,21.441,20.735,1.837,0.0,4.047,55.96,3.58,0.838,9.52,30,0.7147,0,0,0.03,10.52
2024-01-06 16:00:00,MCH-1000,CNC,Diesel,B,OP-102,26.406,27.203,3.299,0.0,4.951,80.9,1.23,0.875,11.02,42,0.6287,0,0,-0.03,12.87
2024-01-06 17:00:00,MCH-1000,CNC,Diesel,B,OP-103,23.081,24.151,4.301,0.0,4.235,27.47,3.55,0.828,7.33,42,0.5496,0,0,-0.04,11.01
2024-01-06 18:00:00,MCH-1000,CNC,Diesel,B,OP-104,25.126,23.998,3.268,0.0,4.644,77.6,0.16,0.814,9.64,35,0.7179,0,0,0.05,12.07
2024-01-06 19:00:00,MCH-1000,CNC,Diesel,B,OP-105,22.99,21.436,3.398,0.0,4.239,46.99,9.7,0.894,4.74,33,0.6967,0,0,0.07,11.02
2024-01-06 20:00:00,MCH-1000,CNC,Diesel,B,OP-106,13.809,13.862,2.956,0.0,2.497,50.97,2.23,0.863,12.32,18,0.7672,0,0,-0.0,6.49
2024-01-06 21:00:00,MCH-1000,CNC,Diesel,B,OP-100,10.227,10.564,2.103,0.0,1.966,24.35,13.69,0.828,7.86,15,0.6818,0,0,-0.03,5.11
2024-01-06 22:00:00,MCH-1000,CNC,Diesel,C,OP-101,8.498,8.331,1.373,0.0,1.695,26.3,8.65,0.75,9.4,11,0.7726,0,0,0.02,4.41
2024-01-06 23:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.717,10.168,3.258,0.0,2.098,11.02,30.91,0.82,11.49,18,0.5954,0,0,0.05,5.45
2024-01-07 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,11.308,10.609,1.039,0.0,2.127,33.62,10.04,0.932,14.77,14,0.8077,0,0,0.07,5.53
2024-01-07 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,13.407,13.109,4.833,0.211,2.592,36.92,18.22,0.848,23.41,22,0.6094,0,0,0.02,6.74
2024-01-07 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,10.996,10.474,6.64,0.191,1.988,10.62,5.48,0.889,23.27,13,0.8459,0,0,0.05,5.17
2024-01-07 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,9.511,8.589,5.225,0.325,1.732,25.93,6.54,0.841,24.17,18,0.5284,0,0,0.11,4.5
