Campaign name,Ad Set Name,Ad name,Page Name,Ads,Age,Gender,City,Day,Delivery status,Delivery level,Ad Set Name (Duplicate),Attribution setting,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Frequency,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),Conversion rate ranking,Engagement rate ranking,Quality ranking,ThruPlays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,Cost per 2-second continuous video play,Cost per 3-second video play,Cost per ThruPlay,Cost per Lead,Ad name (Duplicate),Campaign name (Duplicate),Image name,Video name,Reporting starts,Reporting ends
Data Analytics Bootcamp,Market Analysis Set,Ad 14,Data Insights Academy,Ad 14,23,male,Delhi,27-03-2025,delivering,campaign,Market Analysis Set,1-day click,conversion,35,83,882,21.29,447.04,1.74,122,6.09,68.79,1.06,360,3.45,Average,Average,-,27,25,18,19,9,4,38.11,43,3.55,0.52,4.94,27.07,Ad 14,Data Analytics Bootcamp,similique_promo.png,enim.mp4,27-03-2025,04-08-2025
Advanced Excel Workshop,Sales Funnel Set,Ad 2,Analytics Gurukul,Ad 2,16,male,Pune,11-03-2025,not_delivering,adset,Sales Funnel Set,1-day click,conversion,38,1056,1510,36.21,213.99,2.83,178,7.05,75.51,0.91,500,14.17,Below average,Above average,Below average,170,326,164,182,165,90,58.85,415,1.85,0.92,33.87,36.15,Ad 2,Advanced Excel Workshop,hic_promo.png,magnam.mp4,11-03-2025,12-03-2025
AI & ML Foundations,Video Ads Set,Ad 8,Code & Data,Ad 8,26,female,Kochi,30-11-2024,not_delivering,campaign,Video Ads Set,7-day click or 1-day view,conversion,16,234,790,18.2,700.43,2.52,54,13.36,70.32,1.84,82,5.48,Below average,-,Above average,77,68,81,74,56,29,56.28,127,4.96,1.87,42.52,40.14,Ad 8,AI & ML Foundations,id_promo.png,natus.mp4,30-11-2024,20-04-2025
Digital Marketing Essentials,Landing Page Optimization Set,Ad 8,Analytics Gurukul,Ad 8,22,female,Madurai,09-09-2024,not_delivering,ad,Landing Page Optimization Set,1-day click,conversion,25,782,1933,46.11,742,1.42,59,12.81,85.67,1.25,144,1.95,Above average,-,-,200,187,234,118,118,31,92.6,437,0.82,2.67,41.33,26.12,Ad 8,Digital Marketing Essentials,aperiam_promo.png,dolore.mp4,09-09-2024,13-09-2025
Data Analytics Bootcamp,SEO Campaign Set,Ad 6,SkillUp Learning,Ad 6,19,male,Delhi,06-10-2024,delivering,ad,SEO Campaign Set,1-day click,conversion,29,571,628,38.69,120.92,0.94,83,12.54,64.7,2.95,98,10.9,Below average,Above average,Below average,34,93,55,74,24,30,49.13,131,1.54,2.31,34.86,30.61,Ad 6,Data Analytics Bootcamp,fugit_promo.png,assumenda.mp4,06-10-2024,11-06-2025
SQL Skills Training,Data Visualization Set,Ad 1,SkillUp Learning,Ad 1,40,female,Mysuru,25-06-2025,not_delivering,adset,Data Visualization Set,1-day click,conversion,6,488,1314,14.88,98.68,1.62,33,9.95,60.02,3.83,55,14.91,Below average,Average,Above average,133,140,157,73,79,29,58.83,200,2.2,1.51,3.1,25.12,Ad 1,SQL Skills Training,ullam_promo.png,iste.mp4,25-06-2025,05-09-2025
Advanced Excel Workshop,Product Launch Set,Ad 11,SkillUp Learning,Ad 11,34,male,Bengaluru,12-10-2024,not_delivering,ad,Product Launch Set,1-day click,conversion,0,764,2359,49.71,796.18,0.91,2,7.74,94.97,2.41,4,3.94,-,-,-,343,386,380,329,236,55,23.11,646,1.02,4.8,36.48,32.24,Ad 11,Advanced Excel Workshop,saepe_promo.png,deleniti.mp4,12-10-2024,17-05-2025
Python for Beginners,Marketing Automation Set,Ad 4,Code & Data,Ad 4,21,male,Kochi,20-04-2024,delivering,campaign,Marketing Automation Set,7-day click,conversion,23,539,2182,32.48,286.14,0.79,39,5.18,76.88,1.42,75,0.77,Above average,Above average,Above average,280,323,205,245,104,78,10,370,1.84,3.75,21.77,42.61,Ad 4,Python for Beginners,ducimus_promo.png,ipsum.mp4,20-04-2024,09-08-2025
Data Analytics Bootcamp,Landing Page Optimization Set,Ad 13,Code & Data,Ad 13,22,female,Mysuru,11-09-2024,delivering,campaign,Landing Page Optimization Set,7-day click or 1-day view,conversion,8,806,1782,11.38,329.02,2.88,43,5.51,94.54,6.55,82,9.64,Below average,Below average,Average,244,364,280,202,104,71,73.16,577,3.71,1.67,32.4,49.55,Ad 13,Data Analytics Bootcamp,perferendis_promo.png,quam.mp4,11-09-2024,29-03-2025
SQL Skills Training,Retention Program Set,Ad 3,Analytics Gurukul,Ad 3,39,female,Tirupati,18-06-2024,not_delivering,campaign,Retention Program Set,7-day click,conversion,24,968,970,17.07,400.77,1.28,35,1.43,84.54,5.18,95,14.13,Average,-,Above average,273,517,375,282,380,137,46.41,895,4.06,1.19,28.26,47.34,Ad 3,SQL Skills Training,nihil_promo.png,nostrum.mp4,18-06-2024,05-05-2025
Python for Beginners,Referral Program Set,Ad 12,Code & Data,Ad 12,19,male,Coimbatore,17-11-2024,not_delivering,adset,Referral Program Set,1-day click,conversion,3,301,577,3.69,274.5,1.64,2,5.11,54.63,5.61,2,10.05,-,Below average,-,63,182,141,125,39,29,44.04,272,2.57,3.72,23.41,37.51,Ad 12,Python for Beginners,a_promo.png,harum.mp4,17-11-2024,20-03-2025
Digital Marketing Essentials,Referral Program Set,Ad 15,Data Insights Academy,Ad 15,21,female,Ahmedabad,18-05-2024,not_delivering,campaign,Referral Program Set,1-day click,conversion,16,468,2107,48.87,475.23,1.61,62,4.5,50.85,3.05,75,13.57,Average,Below average,-,7,7,7,8,5,3,88.32,17,4.08,3.77,32.51,31.86,Ad 15,Digital Marketing Essentials,natus_promo.png,accusantium.mp4,18-05-2024,18-08-2024
AI & ML Foundations,SEO Campaign Set,Ad 5,Code & Data,Ad 5,40,female,Mysuru,14-07-2024,delivering,campaign,SEO Campaign Set,7-day click or 1-day view,conversion,21,985,2178,34.02,751.3,2.59,56,11.8,78.84,5.05,110,7.66,-,Above average,Below average,158,164,135,210,139,77,63.3,343,2.03,3.98,27.91,24.36,Ad 5,AI & ML Foundations,eum_promo.png,iure.mp4,14-07-2024,30-04-2025
Digital Marketing Essentials,Product Launch Set,Ad 2,Code & Data,Ad 2,16,female,Kochi,02-04-2024,delivering,adset,Product Launch Set,7-day click or 1-day view,conversion,33,1075,1286,9.49,770.84,1.43,28,11.36,59.05,3.51,54,6.08,-,Average,Above average,197,491,442,187,147,79,11.55,572,0.96,1.48,12.53,47.59,Ad 2,Digital Marketing Essentials,sed_promo.png,porro.mp4,02-04-2024,21-12-2024
Power BI Mastery,Sales Funnel Set,Ad 3,Analytics Gurukul,Ad 3,38,male,Visakhapatnam,15-05-2024,not_delivering,ad,Sales Funnel Set,1-day click,conversion,17,898,1699,29.79,654.38,2.98,53,5.66,51.95,1.85,123,13.02,Above average,-,Below average,197,200,143,89,181,74,20.44,382,2.74,4.77,15.42,35.23,Ad 3,Power BI Mastery,consectetur_promo.png,asperiores.mp4,15-05-2024,07-04-2025
Advanced Excel Workshop,Engagement Set,Ad 6,Data Insights Academy,Ad 6,28,female,Visakhapatnam,24-05-2025,delivering,adset,Engagement Set,7-day click,conversion,23,577,1862,41.27,687.14,2.55,31,10.83,85.76,6.07,76,9.9,Average,-,Below average,362,325,227,195,67,34,45.58,462,4.64,4.6,28.96,38.7,Ad 6,Advanced Excel Workshop,ad_promo.png,soluta.mp4,24-05-2025,16-07-2025
SQL Skills Training,Retention Program Set,Ad 2,Code & Data,Ad 2,32,female,Kochi,30-06-2024,not_delivering,ad,Retention Program Set,1-day click,conversion,6,594,685,22.27,478.57,1.58,21,14.95,96.42,4.28,39,7.25,Average,Average,-,22,49,24,49,30,16,98.97,76,3.22,2.49,20.72,39.54,Ad 2,SQL Skills Training,mollitia_promo.png,sapiente.mp4,30-06-2024,03-10-2025
SQL Skills Training,Video Ads Set,Ad 8,SkillUp Learning,Ad 8,43,male,Trivandrum,26-09-2024,delivering,campaign,Video Ads Set,7-day click or 1-day view,conversion,17,548,2340,9.18,431.25,2.11,54,9.2,82.1,3.07,83,13.43,Above average,-,Average,210,390,224,360,121,77,63.11,538,4.31,3.25,27.69,39.39,Ad 8,SQL Skills Training,inventore_promo.png,vitae.mp4,26-09-2024,13-11-2024
Data Analytics Bootcamp,Email Campaign Set,Ad 8,Data Insights Academy,Ad 8,21,female,Hyderabad,25-02-2025,not_delivering,adset,Email Campaign Set,7-day click,conversion,26,584,1025,43.02,643.37,1.04,56,9.54,90.97,6.12,99,6.64,Above average,Below average,-,139,381,351,130,74,97,23.8,569,3.91,1.21,47.61,23.24,Ad 8,Data Analytics Bootcamp,deleniti_promo.png,explicabo.mp4,25-02-2025,21-04-2025
Digital Marketing Essentials,Growth Hacking Set,Ad 3,Code & Data,Ad 3,44,female,Mysuru,24-09-2025,delivering,adset,Growth Hacking Set,1-day click,conversion,9,1119,2072,13.33,471.01,0.7,0,12.09,85.92,2.39,3,9.71,Above average,Below average,-,205,473,553,390,253,174,77.52,851,3.25,2.98,18.91,33.83,Ad 3,Digital Marketing Essentials,voluptatum_promo.png,odio.mp4,24-09-2025,04-10-2025
Power BI Mastery,Python Analytics Set,Ad 11,Code & Data,Ad 11,35,male,Bengaluru,03-08-2025,not_delivering,adset,Python Analytics Set,7-day click,conversion,9,728,2093,27,480.32,2.34,24,1.45,75.8,4.79,27,14.55,Above average,-,-,397,445,250,221,270,145,100.85,648,1.64,0.71,24.02,37.29,Ad 11,Power BI Mastery,temporibus_promo.png,neque.mp4,03-08-2025,05-08-2025
SQL Skills Training,Lead Gen Set,Ad 9,SkillUp Learning,Ad 9,42,female,Ahmedabad,28-08-2024,not_delivering,campaign,Lead Gen Set,7-day click or 1-day view,conversion,22,687,2161,42.53,459.3,2.39,83,1.2,88,5.95,160,3.03,Below average,Below average,-,214,340,322,230,182,63,73.53,463,1.55,3.71,20.32,47.06,Ad 9,SQL Skills Training,quae_promo.png,ut.mp4,28-08-2024,16-09-2024
Python for Beginners,Ad Testing Set,Ad 8,Analytics Gurukul,Ad 8,16,female,Kochi,08-11-2024,delivering,campaign,Ad Testing Set,1-day click,conversion,28,1121,2964,20.51,633.75,1.59,56,12.55,55.58,2.27,63,6.86,Below average,Below average,-,516,655,309,474,220,57,105.84,744,1.93,4.45,3.17,27.61,Ad 8,Python for Beginners,exercitationem_promo.png,odio.mp4,08-11-2024,31-05-2025
Python Data Science Track,Customer Feedback Set,Ad 10,Code & Data,Ad 10,31,male,Pune,17-12-2024,not_delivering,campaign,Customer Feedback Set,7-day click or 1-day view,conversion,13,358,472,22.33,710.67,0.69,60,7.21,69.75,2.72,168,11.89,Average,Below average,Above average,164,163,96,176,121,71,99.99,298,4.76,1.3,28.32,22.56,Ad 10,Python Data Science Track,quas_promo.png,natus.mp4,17-12-2024,10-05-2025
AI & ML Foundations,SQL Insights Set,Ad 9,SkillUp Learning,Ad 9,38,female,Madurai,04-05-2025,delivering,adset,SQL Insights Set,7-day click or 1-day view,conversion,22,692,1563,48.8,157.21,0.85,103,10.09,51.56,2.94,201,5.62,-,-,Above average,133,205,377,325,129,109,85,475,3.43,2.18,23.29,25.58,Ad 9,AI & ML Foundations,at_promo.png,quas.mp4,04-05-2025,24-07-2025
Python for Beginners,Webinar Promotion Set,Ad 1,SkillUp Learning,Ad 1,36,female,Visakhapatnam,17-09-2025,delivering,campaign,Webinar Promotion Set,1-day click,conversion,26,573,2465,5.04,485.16,2.89,125,4.08,73.48,4.97,205,1.06,Above average,-,Average,160,100,100,121,64,34,32.03,201,4.08,3.28,46.75,25.84,Ad 1,Python for Beginners,aperiam_promo.png,possimus.mp4,17-09-2025,26-10-2025
Python for Beginners,Engagement Set,Ad 12,Data Insights Academy,Ad 12,28,male,Trivandrum,16-03-2025,not_delivering,ad,Engagement Set,1-day click,conversion,30,665,2065,35.2,266.87,1.35,97,4.82,53.61,1.61,109,3.36,Above average,-,-,91,131,153,60,44,10,71.78,204,2.41,1.81,20.74,40.95,Ad 12,Python for Beginners,aperiam_promo.png,sapiente.mp4,16-03-2025,02-10-2025
Advanced Excel Workshop,Email Campaign Set,Ad 7,Data Insights Academy,Ad 7,18,male,Mumbai,18-07-2025,delivering,campaign,Email Campaign Set,7-day click or 1-day view,conversion,19,1148,2063,49.87,69.4,0.58,102,6.06,97.42,5.16,229,6.37,Below average,-,Above average,267,407,350,198,153,88,55.77,506,2.88,4.34,21.44,24.66,Ad 7,Advanced Excel Workshop,enim_promo.png,odio.mp4,18-07-2025,01-10-2025
Digital Marketing Essentials,Ad Testing Set,Ad 6,Code & Data,Ad 6,18,female,Tirupati,28-09-2024,delivering,ad,Ad Testing Set,1-day click,conversion,29,651,1631,13.45,729.54,2.31,86,10.97,73.78,2.33,243,1.86,Average,Below average,Below average,107,128,101,44,80,30,102.34,205,4.58,4.34,43.9,23.56,Ad 6,Digital Marketing Essentials,maiores_promo.png,ipsa.mp4,28-09-2024,22-07-2025
AI & ML Foundations,Video Ads Set,Ad 3,Data Insights Academy,Ad 3,39,male,Mumbai,01-04-2024,delivering,adset,Video Ads Set,1-day click,conversion,28,647,2384,49.93,218.8,1.84,1,1.26,59.31,6.5,2,14.99,-,Average,Below average,89,301,201,139,55,91,75.99,387,1.97,3.7,45.94,48.03,Ad 3,AI & ML Foundations,possimus_promo.png,sapiente.mp4,01-04-2024,10-01-2025
Advanced Excel Workshop,Cross-sell Campaign Set,Ad 4,Data Insights Academy,Ad 4,24,female,Madurai,19-09-2025,delivering,ad,Cross-sell Campaign Set,1-day click,conversion,27,75,396,47.91,786.55,2.9,141,3.03,89.86,1.67,404,13.87,Average,Below average,Above average,0,0,0,0,0,0,32.09,1,1.26,1.31,4.99,42.27,Ad 4,Advanced Excel Workshop,ex_promo.png,ipsam.mp4,19-09-2025,13-10-2025
Full Stack Analytics Program,Python Analytics Set,Ad 7,Analytics Gurukul,Ad 7,24,female,Trivandrum,22-10-2025,delivering,campaign,Python Analytics Set,7-day click or 1-day view,conversion,35,252,843,38.16,740.48,2.13,87,13.2,56.27,4.89,151,6.63,Below average,-,Below average,28,46,34,35,7,13,36.5,58,3.26,2.97,28.73,36.3,Ad 7,Full Stack Analytics Program,mollitia_promo.png,laudantium.mp4,22-10-2025,25-10-2025
Business Analytics Certification,Branding Set,Ad 9,Data Insights Academy,Ad 9,31,female,Bengaluru,18-09-2024,delivering,adset,Branding Set,7-day click,conversion,30,354,738,40.15,491.92,2.62,76,5.35,66.61,0.59,129,7.27,Above average,Below average,Above average,198,167,222,132,107,33,92.9,347,2.43,4.44,34.59,45.84,Ad 9,Business Analytics Certification,facere_promo.png,odio.mp4,18-09-2024,01-10-2025
SQL Skills Training,Email Campaign Set,Ad 7,Data Insights Academy,Ad 7,15,female,Hyderabad,01-01-2025,delivering,adset,Email Campaign Set,7-day click,conversion,17,291,1450,33.75,286.1,1.64,68,11.05,72.62,5.92,184,6.97,-,Above average,Below average,106,250,178,97,44,67,79.26,291,1.66,3.28,18.29,30.36,Ad 7,SQL Skills Training,culpa_promo.png,dolor.mp4,01-01-2025,11-05-2025
SQL Skills Training,Cross-sell Campaign Set,Ad 6,SkillUp Learning,Ad 6,34,female,Tirupati,23-10-2025,delivering,ad,Cross-sell Campaign Set,7-day click or 1-day view,conversion,15,777,2502,36.72,667.34,0.93,41,13.39,82.07,4.19,64,5.56,Below average,-,Below average,575,305,407,308,330,117,68.1,741,1.2,2.81,43.38,25.82,Ad 6,SQL Skills Training,iste_promo.png,fuga.mp4,23-10-2025,26-10-2025
Data Analytics Bootcamp,Engagement Set,Ad 2,Analytics Gurukul,Ad 2,18,male,Mysuru,24-04-2024,delivering,campaign,Engagement Set,1-day click,conversion,8,1071,1370,9.53,746.79,2.89,17,7.78,89.26,6.79,25,14.54,Above average,Below average,-,316,558,363,181,183,58,66.08,665,2.61,3.46,42.3,39.22,Ad 2,Data Analytics Bootcamp,eius_promo.png,expedita.mp4,24-04-2024,09-06-2024
SQL Skills Training,Product Launch Set,Ad 7,Code & Data,Ad 7,17,female,Kochi,19-04-2025,delivering,campaign,Product Launch Set,1-day click,conversion,14,231,648,27.8,683.49,1.04,49,3.53,57.82,5.33,97,6.24,Below average,Above average,-,144,153,150,126,59,27,81.62,231,1.34,2.64,37.89,27.01,Ad 7,SQL Skills Training,voluptas_promo.png,aperiam.mp4,19-04-2025,18-07-2025
Full Stack Analytics Program,Digital Marketing Set,Ad 9,Analytics Gurukul,Ad 9,19,female,Pondicherry,16-09-2024,delivering,ad,Digital Marketing Set,7-day click,conversion,29,1069,2013,29.24,537.91,2.45,60,4.24,74.95,5.14,81,1.09,-,Above average,-,219,247,419,405,136,158,114.56,595,4.08,2.18,46.09,46.88,Ad 9,Full Stack Analytics Program,tempora_promo.png,accusantium.mp4,16-09-2024,06-09-2025
Data Analytics Bootcamp,Growth Hacking Set,Ad 3,Analytics Gurukul,Ad 3,19,male,Pune,10-05-2025,delivering,campaign,Growth Hacking Set,1-day click,conversion,20,1005,2492,42.51,775.52,1.61,81,6.11,95.65,5.49,131,8.21,Below average,-,Above average,105,129,115,60,89,15,113.66,277,1.83,2.88,17.33,21.8,Ad 3,Data Analytics Bootcamp,quod_promo.png,reiciendis.mp4,10-05-2025,15-07-2025
Full Stack Analytics Program,Retention Strategies Set,Ad 8,SkillUp Learning,Ad 8,45,female,Pondicherry,26-10-2024,not_delivering,ad,Retention Strategies Set,1-day click,conversion,23,1078,2237,8.72,723.72,1.14,55,5.9,95.51,3.9,160,8.34,-,Above average,Above average,636,595,587,366,186,207,104.18,1060,2.09,2.65,47.3,32.45,Ad 8,Full Stack Analytics Program,nemo_promo.png,enim.mp4,26-10-2024,07-04-2025
Python for Beginners,Sales Funnel Set,Ad 7,SkillUp Learning,Ad 7,16,male,Visakhapatnam,09-09-2025,not_delivering,adset,Sales Funnel Set,7-day click,conversion,14,526,1116,46.18,118.15,0.72,9,4.72,77.94,5.17,9,1.4,Above average,Below average,Above average,245,236,191,99,81,71,70.49,468,3.97,2.73,16.84,34.17,Ad 7,Python for Beginners,aperiam_promo.png,natus.mp4,09-09-2025,06-10-2025
Advanced Excel Workshop,Python Analytics Set,Ad 2,SkillUp Learning,Ad 2,16,male,Bengaluru,16-06-2025,not_delivering,ad,Python Analytics Set,7-day click,conversion,12,924,2714,37.24,575.62,0.75,64,2.79,76.79,1.29,101,8.69,Below average,Above average,-,254,453,428,381,214,165,17.22,619,4.97,0.76,28.87,45.39,Ad 2,Advanced Excel Workshop,quod_promo.png,et.mp4,16-06-2025,04-08-2025
SQL Skills Training,Referral Program Set,Ad 10,SkillUp Learning,Ad 10,15,male,Visakhapatnam,08-06-2024,not_delivering,campaign,Referral Program Set,7-day click or 1-day view,conversion,2,614,1545,4.31,223.05,1.47,14,13.45,65.18,1.85,42,7.84,-,Below average,-,58,152,113,129,102,48,41.39,224,0.88,2.09,37.48,34.84,Ad 10,SQL Skills Training,soluta_promo.png,quae.mp4,08-06-2024,01-11-2024
Data Analytics Bootcamp,Customer Success Set,Ad 8,Analytics Gurukul,Ad 8,28,female,Hyderabad,09-06-2025,not_delivering,adset,Customer Success Set,1-day click,conversion,12,51,1804,26.32,766.84,1.28,13,9.87,60.32,5.98,25,5.3,Average,Average,Below average,5,5,3,4,5,2,44.75,11,4.94,4.69,20.03,43.01,Ad 8,Data Analytics Bootcamp,facere_promo.png,suscipit.mp4,09-06-2025,18-09-2025
Business Analytics Certification,Digital Marketing Set,Ad 15,Data Insights Academy,Ad 15,33,male,Visakhapatnam,08-07-2025,not_delivering,campaign,Digital Marketing Set,7-day click or 1-day view,conversion,27,346,2165,48.67,158.02,1.07,64,10.98,82.89,6.49,101,3.49,Above average,Below average,-,118,210,239,175,61,43,85.12,314,4.03,2.5,31.04,24.24,Ad 15,Business Analytics Certification,amet_promo.png,veniam.mp4,08-07-2025,16-09-2025
Digital Marketing Essentials,Retention Strategies Set,Ad 1,Data Insights Academy,Ad 1,17,male,Pune,24-06-2024,not_delivering,ad,Retention Strategies Set,7-day click,conversion,30,266,626,37.86,738.59,2.94,28,6.17,81.41,1.82,84,3.24,Below average,Below average,Above average,59,94,157,47,77,45,40.47,226,4.29,0.57,17.13,41.1,Ad 1,Digital Marketing Essentials,officiis_promo.png,facilis.mp4,24-06-2024,21-06-2025
Advanced Excel Workshop,Customer Success Set,Ad 6,Data Insights Academy,Ad 6,25,female,Chennai,20-06-2025,not_delivering,campaign,Customer Success Set,1-day click,conversion,1,209,1877,1.15,502.82,1.34,4,2.53,68.43,2.45,12,12.79,-,-,Above average,66,71,44,47,43,7,101.78,104,2.2,0.57,24.21,26.39,Ad 6,Advanced Excel Workshop,perferendis_promo.png,dolore.mp4,20-06-2025,14-08-2025
Advanced Excel Workshop,Digital Marketing Set,Ad 2,SkillUp Learning,Ad 2,45,male,Pondicherry,02-02-2025,delivering,campaign,Digital Marketing Set,7-day click or 1-day view,conversion,39,746,2477,5.21,135.89,1.05,200,1.3,89.17,3.84,485,5.9,Average,Below average,Below average,313,312,365,451,334,106,35.47,711,2.39,0.51,22.33,22.9,Ad 2,Advanced Excel Workshop,perferendis_promo.png,tenetur.mp4,02-02-2025,24-06-2025
Power BI Mastery,Email Campaign Set,Ad 12,Data Insights Academy,Ad 12,26,male,Pondicherry,02-02-2025,not_delivering,adset,Email Campaign Set,1-day click,conversion,21,141,806,18.44,214.06,1.77,57,12.33,55.37,2.33,139,10.15,Below average,Average,-,9,32,13,11,9,6,20.87,38,4.34,1.73,33.51,44.53,Ad 12,Power BI Mastery,eum_promo.png,ea.mp4,02-02-2025,24-07-2025
Advanced Excel Workshop,Branding Set,Ad 12,Code & Data,Ad 12,29,female,Ahmedabad,21-04-2024,delivering,campaign,Branding Set,7-day click,conversion,8,163,1692,11.4,758.88,2.22,45,7.95,57.62,0.83,52,7.13,-,Above average,Average,23,43,23,40,9,14,47.58,65,1.46,1.2,31.23,30.96,Ad 12,Advanced Excel Workshop,quo_promo.png,iste.mp4,21-04-2024,07-12-2024
Advanced Excel Workshop,Engagement Set,Ad 7,SkillUp Learning,Ad 7,42,male,Tirupati,31-08-2025,delivering,adset,Engagement Set,1-day click,conversion,35,1125,2246,33.16,205.97,2.05,103,7.09,99,5.34,287,14.32,Above average,Above average,-,72,42,71,60,45,12,69.9,95,4.87,2.85,24.76,47.63,Ad 7,Advanced Excel Workshop,exercitationem_promo.png,rerum.mp4,31-08-2025,15-09-2025
