Order_ID,Customer_ID,Order_Date,Warehouse,Region,Product_Type,Channel,Processing_Delay_Hrs,Picking_Delay_Hrs,Packing_Delay_Hrs,Dispatch_Delay_Hrs,Transport_Delay_Hrs,Total_Fulfillment_Hours,SLA_Hours,SLA_Breach_Flag,Order_Qty,Fulfilled_Qty,Qty_Accuracy,Short_Ship_Flag,Root_Cause,Priority,Fulfillment_Completed_At,Shipping_Cost,Delay_Cost
ORD-100024,CUST-674,2023-02-19 07:03:00,WH-North,East,Automotive,Distributor,1.21,3.47,0.85,4.43,1.68,11.65,24,0,358,346,0.966,1,Inventory Shortage,Medium,2023-02-19 18:41:46.054810,102.81,416.23
ORD-100025,CUST-303,2023-01-02 05:53:00,WH-South,North,Electronics,Distributor,2.49,0.47,1.99,2.18,5.42,12.56,48,0,56,54,0.964,1,Transport Issue,Low,2023-01-02 18:26:25.002835,116.06,448.78
ORD-100026,CUST-833,2023-04-16 03:53:00,WH-West,West,Automotive,Online,1.41,0.71,2.19,2.82,3.98,11.11,96,0,480,466,0.971,1,Staff Shortage,High,2023-04-16 14:59:41.976558,236.16,397.13
ORD-100027,CUST-765,2023-07-10 17:25:00,WH-West,South,Automotive,Online,1.44,0.42,2.89,3.86,0.54,9.14,72,0,355,340,0.958,1,Inventory Shortage,Medium,2023-07-11 02:33:40.487507,167.76,326.83
ORD-100028,CUST-818,2023-02-13 01:09:00,WH-West,North,Electronics,Retail,0.93,1.22,0.85,0.08,0.75,3.83,48,0,189,185,0.979,1,Inventory Shortage,High,2023-02-13 04:58:36.442553,184.33,136.77
ORD-100029,CUST-658,2023-09-27 15:14:00,WH-East,East,Electronics,B2B,3.59,0.04,1.42,2.54,4.3,11.88,48,0,476,459,0.964,1,Staff Shortage,Medium,2023-09-28 03:07:01.366605,134.33,424.72
ORD-100030,CUST-529,2023-08-03 07:20:00,WH-East,East,Electronics,Distributor,6.88,2.0,0.14,6.47,7.05,22.54,24,0,492,481,0.978,1,Staff Shortage,Medium,2023-08-04 05:52:35.567148,89.5,805.69
ORD-100031,CUST-325,2023-07-27 12:17:00,WH-East,East,Apparel,Online,7.07,1.33,1.0,0.05,1.81,11.26,48,0,5,5,1.0,0,Dispatch Backlog,Medium,2023-07-27 23:32:22.479726,215.71,402.3
ORD-100032,CUST-559,2023-02-22 23:25:00,WH-North,West,FMCG,Distributor,0.48,4.12,0.34,1.56,3.8,10.3,72,0,286,274,0.958,1,Picking Delay,Medium,2023-02-23 09:43:06.061058,146.73,368.18
ORD-100033,CUST-703,2023-08-05 12:40:00,WH-East,North,Apparel,Online,5.19,0.32,0.68,7.82,0.79,14.8,48,0,278,270,0.971,1,Transport Issue,Medium,2023-08-06 03:28:03.838881,125.38,528.99
ORD-100034,CUST-384,2023-06-06 14:44:00,WH-East,North,Electronics,Retail,3.34,2.93,1.21,1.31,1.57,10.36,24,0,145,140,0.966,1,Transport Issue,Medium,2023-06-07 01:05:27.261943,103.22,370.18
ORD-100035,CUST-928,2023-03-06 06:08:00,WH-West,East,Furniture,Retail,0.73,2.83,0.36,1.84,0.09,5.84,96,0,394,379,0.962,1,Picking Delay,High,2023-03-06 11:58:19.310241,99.93,208.67
ORD-100036,CUST-990,2023-12-10 00:43:00,WH-North,East,Furniture,B2B,0.17,0.24,0.06,11.98,6.14,18.6,72,0,455,445,0.978,1,Transport Issue,High,2023-12-10 19:19:04.498594,177.15,664.81
ORD-100037,CUST-106,2023-05-16 23:10:00,WH-East,East,Electronics,Distributor,0.78,0.92,0.01,0.67,2.15,4.53,48,0,196,189,0.964,1,Transport Issue,Medium,2023-05-17 03:41:36.764266,139.54,161.79
ORD-100038,CUST-877,2023-03-22 07:34:00,WH-North,West,Apparel,B2B,6.08,0.34,0.03,0.2,7.11,13.76,24,0,426,408,0.958,1,Dispatch Backlog,Low,2023-03-22 21:19:35.057730,182.29,491.77
ORD-100039,CUST-925,2023-10-16 04:41:00,WH-West,West,Apparel,Online,2.51,0.53,0.01,5.89,5.18,14.11,24,0,27,26,0.963,1,Transport Issue,High,2023-10-16 18:47:28.875941,234.97,504.22
ORD-100040,CUST-263,2023-08-19 08:27:00,WH-North,South,Electronics,B2B,3.19,0.55,0.14,6.09,7.41,17.38,24,0,127,125,0.984,1,Dispatch Backlog,Medium,2023-08-20 01:49:43.802580,160.81,621.12
ORD-100041,CUST-814,2023-05-15 08:07:00,WH-North,South,Furniture,Distributor,0.74,1.46,0.33,1.92,1.41,5.86,48,0,135,133,0.985,1,Transport Issue,Medium,2023-05-15 13:58:48.194989,132.97,209.56
ORD-100042,CUST-532,2023-09-25 01:32:00,WH-South,South,Apparel,Online,3.18,0.95,0.3,2.17,0.86,7.46,24,0,23,23,1.0,0,Dispatch Backlog,Medium,2023-09-25 08:59:24.126454,108.81,266.5
ORD-100043,CUST-448,2023-02-17 22:22:00,WH-North,East,Furniture,Retail,0.07,5.31,5.19,5.42,15.0,31.0,72,0,331,325,0.982,1,Inventory Shortage,Low,2023-02-19 05:21:59.493136,90.39,1107.93
ORD-100044,CUST-384,2023-03-03 23:36:00,WH-East,West,Automotive,B2B,1.18,0.24,0.44,4.02,5.31,11.19,96,0,117,114,0.974,1,Transport Issue,Low,2023-03-04 10:47:20.511481,140.36,399.9
ORD-100045,CUST-259,2023-04-09 11:39:00,WH-South,West,Automotive,Online,2.46,6.55,0.16,0.92,7.54,17.64,48,0,392,385,0.982,1,Transport Issue,Low,2023-04-10 05:17:35.176311,158.67,630.56
ORD-100046,CUST-320,2023-08-02 02:00:00,WH-West,South,Furniture,Retail,0.39,0.47,0.95,0.05,0.06,1.92,48,0,8,8,1.0,0,None,Low,2023-08-02 03:55:11.516292,138.47,68.62
ORD-100047,CUST-881,2023-08-15 04:46:00,WH-West,East,Furniture,B2B,4.33,2.67,2.34,1.96,1.84,13.14,72,0,101,98,0.97,1,Dispatch Backlog,Medium,2023-08-15 17:54:14.407836,286.33,469.53
ORD-100048,CUST-444,2023-05-11 00:04:00,WH-West,North,Automotive,Distributor,0.67,0.75,1.36,5.88,5.7,14.35,96,0,261,254,0.973,1,Picking Delay,Low,2023-05-11 14:25:12.853482,148.3,513.0
ORD-100049,CUST-204,2023-08-06 22:13:00,WH-East,East,Apparel,Online,2.64,0.28,0.42,6.79,0.34,10.47,72,0,199,193,0.97,1,None,High,2023-08-07 08:40:59.359591,130.13,374.07
ORD-100050,CUST-194,2023-12-25 08:14:00,WH-North,East,Apparel,Distributor,1.3,3.51,0.99,9.39,3.52,18.71,24,0,86,83,0.965,1,Transport Issue,Medium,2023-12-26 02:56:19.453602,147.46,668.53
ORD-100051,CUST-489,2023-01-15 09:59:00,WH-North,South,Electronics,Retail,2.27,0.66,1.51,6.35,2.35,13.14,24,0,228,225,0.987,1,None,Medium,2023-01-15 23:07:26.676553,120.9,469.65
ORD-100052,CUST-199,2023-06-28 06:48:00,WH-North,West,Electronics,B2B,0.28,1.94,1.56,2.6,0.07,6.46,72,0,386,379,0.982,1,Picking Delay,Low,2023-06-28 13:15:36.928523,98.13,230.89
ORD-100053,CUST-467,2023-02-21 03:29:00,WH-South,West,Furniture,Online,0.04,1.5,1.32,1.76,1.13,5.76,72,0,472,463,0.981,1,Inventory Shortage,Medium,2023-02-21 09:14:34.275297,180.05,205.84
ORD-100054,CUST-967,2023-08-19 12:14:00,WH-East,North,Furniture,Online,6.01,1.15,2.46,4.47,1.41,15.49,24,0,179,174,0.972,1,Picking Delay,Low,2023-08-20 03:43:34.965165,144.96,553.72
ORD-100055,CUST-452,2023-06-20 03:12:00,WH-East,West,Automotive,Distributor,0.79,1.23,2.45,4.04,0.5,9.0,48,0,450,442,0.982,1,Staff Shortage,Medium,2023-06-20 12:12:17.346986,95.07,321.83
ORD-100056,CUST-718,2023-06-09 06:58:00,WH-South,West,Apparel,Retail,4.28,2.37,1.04,2.32,4.19,14.2,72,0,240,231,0.962,1,Staff Shortage,High,2023-06-09 21:10:11.182580,164.74,507.62
ORD-100057,CUST-370,2023-08-31 21:27:00,WH-North,North,Apparel,Retail,18.35,0.17,0.67,0.27,1.17,20.63,24,0,12,12,1.0,0,Dispatch Backlog,Medium,2023-09-01 18:04:37.712534,150.66,737.21
ORD-100058,CUST-926,2023-03-07 09:44:00,WH-West,North,Electronics,Online,0.59,1.99,1.23,7.81,1.37,12.99,72,0,303,289,0.954,1,Picking Delay,Low,2023-03-07 22:43:27.552370,175.81,464.3
ORD-100059,CUST-144,2023-03-03 20:05:00,WH-South,South,FMCG,Retail,0.77,4.07,2.05,1.82,9.6,18.31,24,0,234,227,0.97,1,Picking Delay,High,2023-03-04 14:23:31.485372,101.99,654.35
ORD-100060,CUST-847,2023-10-11 11:43:00,WH-South,South,Automotive,Retail,2.72,0.11,0.01,1.35,2.64,6.83,72,0,183,178,0.973,1,Transport Issue,Medium,2023-10-11 18:32:49.330395,107.79,244.12
ORD-100061,CUST-570,2023-12-06 10:57:00,WH-West,South,Apparel,Distributor,8.41,0.27,5.79,2.98,2.09,19.55,48,0,282,271,0.961,1,Dispatch Backlog,Low,2023-12-07 06:29:58.638732,138.16,698.7
ORD-100062,CUST-649,2023-12-14 06:32:00,WH-East,South,Electronics,Online,6.19,2.27,0.24,3.36,5.4,17.47,48,0,358,346,0.966,1,Transport Issue,Medium,2023-12-14 23:59:54.127302,141.71,624.2
ORD-100063,CUST-227,2023-10-10 19:12:00,WH-East,West,Furniture,B2B,1.75,1.03,0.76,0.71,10.1,14.35,72,0,376,364,0.968,1,Inventory Shortage,High,2023-10-11 09:32:59.386237,140.12,512.86
ORD-100064,CUST-487,2023-08-21 02:38:00,WH-East,South,Apparel,Distributor,3.96,0.93,2.47,5.44,0.11,12.91,72,0,429,411,0.958,1,Dispatch Backlog,Low,2023-08-21 15:32:28.447698,146.65,461.33
ORD-100065,CUST-180,2023-07-17 07:26:00,WH-East,East,Automotive,B2B,0.36,0.27,0.31,1.03,2.5,4.46,96,0,190,185,0.974,1,Picking Delay,High,2023-07-17 11:53:37.767404,119.55,159.42
ORD-100066,CUST-665,2023-05-17 04:32:00,WH-North,North,Furniture,Distributor,9.48,1.27,0.78,0.62,3.96,16.11,48,0,326,314,0.963,1,Transport Issue,Low,2023-05-17 20:38:40.927101,218.24,575.82
ORD-100067,CUST-400,2023-11-03 09:43:00,WH-North,South,Automotive,B2B,8.34,0.24,0.17,1.56,1.61,11.93,72,0,215,209,0.972,1,Dispatch Backlog,Low,2023-11-03 21:38:30.095751,170.52,426.2
ORD-100068,CUST-949,2023-06-01 14:58:00,WH-East,North,Electronics,B2B,0.45,1.17,0.6,3.93,6.22,12.37,48,0,258,248,0.961,1,None,Medium,2023-06-02 03:19:59.991796,153.34,441.98
ORD-100069,CUST-743,2023-06-09 23:40:00,WH-North,West,Electronics,B2B,0.89,2.6,0.23,10.1,14.94,28.76,48,0,26,26,1.0,0,Transport Issue,Low,2023-06-11 04:25:21.835768,128.19,1027.74
ORD-100070,CUST-733,2023-06-29 16:48:00,WH-West,South,FMCG,Online,0.26,0.54,0.54,4.97,12.06,18.38,72,0,270,264,0.978,1,Dispatch Backlog,Medium,2023-06-30 11:10:41.528159,177.7,656.84
ORD-100071,CUST-982,2023-02-21 11:38:00,WH-South,East,Electronics,Distributor,0.79,1.18,0.56,8.46,1.3,12.29,24,0,82,79,0.963,1,Inventory Shortage,Low,2023-02-21 23:55:23.828795,192.71,439.24
ORD-100072,CUST-470,2023-04-23 04:48:00,WH-South,North,Apparel,Retail,4.23,8.69,5.98,0.45,1.08,20.44,48,0,358,350,0.978,1,None,Medium,2023-04-24 01:14:32.114729,195.96,730.6
ORD-100073,CUST-691,2023-03-22 16:01:00,WH-North,South,FMCG,Online,1.19,2.09,6.31,0.22,13.26,23.08,48,0,185,181,0.978,1,Picking Delay,Low,2023-03-23 15:05:34.492324,103.38,824.74
ORD-100074,CUST-296,2023-05-10 21:22:00,WH-East,East,Electronics,B2B,0.23,3.31,0.15,2.45,2.58,8.72,24,0,288,281,0.976,1,Inventory Shortage,Medium,2023-05-11 06:04:58.767869,170.69,311.52
ORD-100075,CUST-821,2023-08-12 00:00:00,WH-South,West,Apparel,Distributor,1.05,0.96,1.55,1.03,0.98,5.57,96,0,62,60,0.968,1,None,Medium,2023-08-12 05:34:29.854952,95.18,199.25
ORD-100076,CUST-171,2023-05-06 01:52:00,WH-South,East,FMCG,Online,9.96,2.63,0.06,5.28,5.16,23.09,48,0,371,356,0.96,1,Transport Issue,Critical,2023-05-07 00:57:21.489420,174.84,825.21
ORD-100077,CUST-146,2023-06-21 05:31:00,WH-West,West,Automotive,Retail,2.48,0.07,0.04,3.34,1.41,7.34,48,0,462,447,0.968,1,Dispatch Backlog,Medium,2023-06-21 12:51:39.885901,167.83,262.49
ORD-100078,CUST-777,2023-09-04 03:54:00,WH-West,North,Electronics,B2B,1.35,0.24,0.13,10.59,1.31,13.61,72,0,30,28,0.933,1,Inventory Shortage,Medium,2023-09-04 17:30:51.548562,168.62,486.57
ORD-100079,CUST-333,2023-07-22 23:58:00,WH-South,South,Apparel,Distributor,0.46,0.41,4.04,0.88,8.88,14.66,48,0,397,385,0.97,1,Staff Shortage,Medium,2023-07-23 14:37:53.419501,149.16,524.12
ORD-100080,CUST-891,2023-09-12 05:23:00,WH-North,East,Apparel,Distributor,10.7,0.93,3.39,2.0,0.74,17.76,48,0,424,416,0.981,1,Inventory Shortage,High,2023-09-12 23:08:44.611925,140.18,634.83
ORD-100081,CUST-396,2023-11-21 19:33:00,WH-East,East,Electronics,Online,4.3,3.36,0.26,2.09,0.28,10.29,24,0,31,31,1.0,0,Inventory Shortage,Low,2023-11-22 05:50:18.326066,140.06,367.71
ORD-100082,CUST-181,2023-07-17 21:10:00,WH-South,East,FMCG,Online,0.83,0.77,0.21,0.82,1.32,3.94,48,0,293,284,0.969,1,Picking Delay,Medium,2023-07-18 01:06:25.004061,144.24,140.83
ORD-100083,CUST-975,2023-08-28 15:32:00,WH-West,West,Apparel,Online,0.18,1.91,0.33,2.68,3.92,9.02,24,0,173,169,0.977,1,Picking Delay,Medium,2023-08-29 00:33:22.264894,155.82,322.48
ORD-100084,CUST-338,2023-07-20 05:15:00,WH-West,North,Apparel,B2B,0.15,2.22,0.87,1.76,0.55,5.55,72,0,102,100,0.98,1,None,Low,2023-07-20 10:47:53.192294,120.93,198.29
ORD-100085,CUST-987,2023-12-15 02:19:00,WH-West,North,FMCG,B2B,0.32,1.59,1.01,1.78,2.68,7.38,48,0,128,124,0.969,1,Transport Issue,High,2023-12-15 09:41:32.225830,143.21,263.6
ORD-100086,CUST-203,2023-09-09 03:18:00,WH-West,South,Electronics,Retail,2.17,0.8,0.3,1.35,4.15,8.77,48,0,86,83,0.965,1,Transport Issue,Medium,2023-09-09 12:04:01.098575,153.68,313.33
ORD-100087,CUST-489,2023-12-12 02:18:00,WH-South,South,Automotive,Distributor,6.6,1.55,1.7,0.05,7.93,17.83,48,0,315,307,0.975,1,None,Medium,2023-12-12 20:07:58.694250,245.11,637.35
ORD-100088,CUST-384,2023-05-28 06:51:00,WH-South,North,Furniture,Online,1.72,0.75,0.44,2.22,1.1,6.23,24,0,28,26,0.929,1,Inventory Shortage,High,2023-05-28 13:04:38.305014,229.75,222.56
ORD-100089,CUST-564,2023-05-08 06:17:00,WH-East,North,Apparel,Online,4.63,0.16,3.06,1.23,7.14,16.21,96,0,122,117,0.959,1,Picking Delay,Medium,2023-05-08 22:29:52.469119,115.8,579.51
ORD-100090,CUST-750,2023-12-26 00:10:00,WH-South,North,Electronics,Distributor,1.48,8.88,1.28,0.0,1.12,12.77,24,0,251,242,0.964,1,Transport Issue,Critical,2023-12-26 12:56:09.028963,144.99,456.37
ORD-100091,CUST-954,2023-05-31 09:34:00,WH-South,East,Apparel,B2B,3.08,0.24,0.69,1.1,4.74,9.86,72,0,61,56,0.918,1,Dispatch Backlog,Critical,2023-05-31 19:25:46.825148,178.09,352.5
ORD-100092,CUST-473,2023-09-20 15:25:00,WH-South,West,Apparel,B2B,3.29,0.14,1.87,0.98,2.37,8.64,48,0,403,393,0.975,1,Dispatch Backlog,Medium,2023-09-21 00:03:37.876541,87.44,308.93
ORD-100093,CUST-266,2023-04-22 19:59:00,WH-South,North,FMCG,Retail,0.48,3.79,2.04,1.5,0.51,8.33,48,0,171,165,0.965,1,Picking Delay,Low,2023-04-23 04:18:40.019444,186.59,297.63
ORD-100094,CUST-479,2023-01-02 00:47:00,WH-North,South,Automotive,Distributor,1.12,0.65,0.41,0.42,5.26,7.86,48,0,443,426,0.962,1,Dispatch Backlog,Low,2023-01-02 08:38:52.093762,109.85,281.08
ORD-100095,CUST-463,2023-09-11 11:04:00,WH-East,West,Electronics,Distributor,2.54,1.89,0.5,2.13,1.03,8.08,96,0,272,263,0.967,1,Inventory Shortage,Medium,2023-09-11 19:08:55.848979,195.17,288.86
ORD-100096,CUST-314,2023-02-06 22:08:00,WH-West,East,FMCG,Online,0.18,0.72,3.3,3.54,0.82,8.55,48,0,325,313,0.963,1,Inventory Shortage,High,2023-02-07 06:41:10.044125,205.12,305.68
ORD-100097,CUST-786,2023-08-21 02:18:00,WH-East,West,Automotive,B2B,1.12,0.89,0.22,2.98,1.86,7.08,48,0,300,292,0.973,1,Inventory Shortage,Low,2023-08-21 09:22:46.068880,124.42,253.02
ORD-100098,CUST-373,2023-10-31 15:02:00,WH-North,North,Automotive,B2B,1.91,0.55,0.05,4.89,4.45,11.85,96,0,113,109,0.965,1,Inventory Shortage,Low,2023-11-01 02:52:46.055048,137.55,423.38
ORD-100099,CUST-818,2023-06-01 21:55:00,WH-East,West,Electronics,Online,13.95,0.76,0.73,1.8,1.12,18.35,72,0,194,192,0.99,1,Dispatch Backlog,Low,2023-06-02 16:16:16.771056,224.67,655.99
ORD-100100,CUST-799,2023-06-10 23:51:00,WH-East,South,Automotive,B2B,1.61,0.95,1.94,2.2,0.85,7.55,48,0,394,374,0.949,1,Inventory Shortage,Medium,2023-06-11 07:23:51.657815,100.76,269.75
ORD-100101,CUST-763,2023-03-16 16:07:00,WH-North,West,FMCG,B2B,4.23,2.29,1.77,4.99,0.04,13.33,96,0,431,415,0.963,1,None,High,2023-03-17 05:26:47.073032,251.62,476.4
ORD-100102,CUST-173,2023-04-14 19:34:00,WH-East,North,Automotive,Retail,1.41,1.29,3.02,1.67,2.68,10.08,72,0,19,18,0.947,1,None,Low,2023-04-15 05:38:54.223492,205.62,360.32
ORD-100103,CUST-723,2023-04-22 02:24:00,WH-East,West,Furniture,Distributor,3.98,5.17,0.91,3.63,2.35,16.05,24,0,340,328,0.965,1,Transport Issue,Low,2023-04-22 18:26:47.037398,163.12,573.5
ORD-100104,CUST-750,2023-12-15 17:45:00,WH-East,West,Furniture,B2B,2.26,0.08,0.13,1.71,1.12,5.3,48,0,93,92,0.989,1,None,Medium,2023-12-15 23:02:43.152029,102.53,189.25
ORD-100105,CUST-275,2023-12-04 01:53:00,WH-North,West,Automotive,Online,5.44,1.26,1.07,1.62,0.23,9.62,48,0,217,215,0.991,1,None,High,2023-12-04 11:30:15.312727,105.35,343.85
ORD-100106,CUST-646,2023-06-12 15:40:00,WH-South,South,Furniture,Retail,1.32,1.58,1.81,4.28,2.36,11.35,48,0,465,447,0.961,1,Dispatch Backlog,High,2023-06-13 03:01:01.267825,175.18,405.66
ORD-100107,CUST-846,2023-06-10 03:32:00,WH-East,West,Apparel,B2B,2.32,4.55,0.12,0.58,6.52,14.08,72,0,179,174,0.972,1,Dispatch Backlog,High,2023-06-10 17:36:53.731421,142.33,503.28
ORD-100108,CUST-350,2023-10-04 15:19:00,WH-North,West,Furniture,Distributor,2.49,0.09,0.23,1.24,5.28,9.32,48,0,499,487,0.976,1,None,Low,2023-10-05 00:38:13.216999,156.72,333.11
ORD-100109,CUST-267,2023-05-15 02:16:00,WH-West,East,Automotive,B2B,1.35,1.53,0.01,0.76,8.28,11.94,24,0,397,385,0.97,1,Transport Issue,Medium,2023-05-15 14:12:32.357668,147.56,426.82
ORD-100110,CUST-573,2023-05-08 00:47:00,WH-North,West,Apparel,B2B,0.39,3.46,1.08,1.33,0.04,6.3,72,0,191,186,0.974,1,Inventory Shortage,Critical,2023-05-08 07:05:15.566947,155.12,225.32
ORD-100111,CUST-488,2023-01-22 13:29:00,WH-East,West,Automotive,Retail,0.25,0.5,2.61,0.79,14.25,18.4,48,0,493,477,0.968,1,Transport Issue,Critical,2023-01-23 07:52:50.239980,308.41,657.52
ORD-100112,CUST-376,2023-02-07 05:44:00,WH-West,East,FMCG,Retail,0.04,3.76,1.33,2.6,1.75,9.49,96,0,400,388,0.97,1,Inventory Shortage,Medium,2023-02-07 15:13:20.263484,91.74,339.13
ORD-100113,CUST-755,2023-02-20 21:07:00,WH-South,South,Apparel,Retail,5.17,0.03,4.82,4.8,19.51,34.34,96,0,437,422,0.966,1,Inventory Shortage,Medium,2023-02-22 07:27:26.907596,151.56,1227.34
ORD-100114,CUST-804,2023-10-10 01:20:00,WH-West,South,Furniture,B2B,0.67,2.37,0.08,4.63,1.22,8.98,96,0,163,156,0.957,1,Inventory Shortage,Critical,2023-10-10 10:18:58.063967,88.34,321.04
ORD-100115,CUST-670,2023-10-13 00:27:00,WH-West,East,FMCG,B2B,0.59,4.87,2.8,1.36,2.68,12.3,72,0,100,98,0.98,1,Inventory Shortage,Medium,2023-10-13 12:45:03.664726,158.93,439.64
ORD-100116,CUST-324,2023-11-13 15:18:00,WH-South,East,Apparel,B2B,3.33,1.93,2.02,13.46,1.83,22.58,24,0,187,183,0.979,1,Picking Delay,Low,2023-11-14 13:52:31.676377,174.12,806.85
ORD-100117,CUST-801,2023-01-04 02:48:00,WH-North,West,Furniture,Retail,0.96,1.04,0.45,2.7,1.85,7.01,48,0,295,287,0.973,1,Staff Shortage,Medium,2023-01-04 09:48:26.116467,163.19,250.44
