driver_id,trip_id,overspeed_events,harsh_brake_events,rapid_accel_events,idling_minutes,night_driving_minutes,distraction_score,safety_score,seatbelt_violation_count,camera_distraction_alerts,sharp_turn_events,avg_following_distance_meters,traffic_signal_violations,fatigue_alerts,driving_hours_this_week,eco_score,risk_category
DR_86,TRIP_62,7,3,3,4,4,0.42,82,3,0,4,10.67,3,3,48,59.82,High
DR_100,TRIP_63,3,5,1,26,68,0.41,84,2,3,1,30.42,3,0,68,94.78,Low
DR_158,TRIP_64,10,5,5,2,28,0.65,74,3,4,1,29.91,0,2,66,78.84,Medium
DR_15,TRIP_65,4,2,2,29,0,0.54,84,2,5,1,13.98,3,0,11,87.13,High
DR_56,TRIP_66,7,7,3,21,94,0.69,74,2,5,1,29.87,1,1,66,98.73,High
DR_273,TRIP_67,1,6,4,33,80,0.71,81,0,2,0,35.88,2,2,17,63.49,Low
DR_15,TRIP_68,0,2,1,29,35,0.88,91,3,4,0,5.82,4,3,61,97.65,Low
DR_38,TRIP_69,1,7,2,38,85,0.35,81,0,3,0,28.98,0,0,34,69.55,High
DR_120,TRIP_70,1,8,1,6,17,0.83,87,1,2,1,14.38,4,1,35,79.63,Low
DR_269,TRIP_71,3,4,3,2,120,0.74,87,1,1,0,5.91,2,3,52,82.33,High
DR_258,TRIP_72,6,1,2,25,27,0.83,83,0,1,1,9.48,3,0,28,87.81,Medium
DR_102,TRIP_73,5,7,6,35,58,0.71,71,0,1,5,7.63,3,2,53,77.69,Low
DR_243,TRIP_74,2,7,6,35,14,0.14,75,1,1,3,9.25,2,3,67,65.43,Medium
DR_5,TRIP_75,4,1,1,15,9,0.6,89,0,2,1,26.03,3,3,33,56.94,Low
DR_99,TRIP_76,6,2,5,19,26,0.11,80,1,4,2,26.25,1,3,56,67.53,Medium
DR_82,TRIP_77,6,0,0,11,53,0.77,89,3,2,3,25.02,0,1,42,95.93,High
DR_290,TRIP_78,5,8,1,0,29,0.3,82,1,1,1,28.31,0,1,49,62.97,Medium
DR_90,TRIP_79,2,2,3,13,99,0.42,89,1,1,3,10.35,1,0,30,69.57,Medium
DR_260,TRIP_80,6,1,4,6,69,0.83,85,2,4,6,15.66,4,1,60,97.03,High
DR_264,TRIP_81,10,1,2,39,19,0.45,74,3,5,3,34.34,2,3,13,76.52,High
DR_193,TRIP_82,7,8,4,29,89,0.18,70,2,0,2,12.74,2,2,50,77.89,High
DR_261,TRIP_83,3,7,1,26,16,0.77,81,2,3,4,12.76,0,3,15,91.96,Medium
DR_214,TRIP_84,5,1,2,35,15,0.58,83,2,1,6,6.03,1,2,32,81.8,Medium
DR_259,TRIP_85,3,0,1,19,58,0.35,91,0,0,0,33.35,4,1,52,88.57,High
DR_152,TRIP_86,7,2,4,25,93,0.3,78,1,0,6,12.84,2,0,23,97.87,Medium
DR_285,TRIP_87,4,4,1,1,92,0.3,88,0,0,6,39.76,0,3,56,57.91,Low
DR_294,TRIP_88,9,5,1,31,102,0.73,74,3,5,5,28.81,3,1,68,78.59,Medium
DR_259,TRIP_89,9,0,5,4,111,0.21,81,0,4,5,24.1,3,1,55,86.35,Medium
DR_258,TRIP_90,4,4,3,12,40,0.75,84,2,3,1,20.64,1,2,68,51.58,High
DR_202,TRIP_91,4,7,5,4,120,0.3,80,1,3,1,25.56,4,2,13,79.74,High
DR_228,TRIP_92,9,0,3,24,64,0.12,79,3,4,1,7.73,0,3,70,95.62,Low
DR_200,TRIP_93,9,7,3,38,39,0.29,68,1,0,6,34.35,3,2,65,52.44,Low
DR_168,TRIP_94,5,5,3,29,55,0.15,78,0,3,2,28.36,2,2,60,87.07,Low
DR_4,TRIP_95,2,5,4,1,22,0.67,87,0,0,1,39.24,3,0,18,92.91,High
DR_127,TRIP_96,9,5,3,35,57,0.55,71,2,2,6,28.39,3,2,17,64.35,High
DR_278,TRIP_97,5,7,6,37,55,0.17,71,1,2,0,8.71,1,2,31,82.74,High
DR_43,TRIP_98,5,3,3,29,73,0.47,80,1,0,5,31.38,1,0,48,83.07,Medium
DR_45,TRIP_99,4,3,4,21,112,0.43,82,1,5,6,23.13,1,0,26,67.31,High
DR_143,TRIP_100,0,4,3,37,30,0.72,85,2,0,2,8.7,3,3,51,60.55,Low
DR_45,TRIP_101,0,3,2,20,103,0.5,91,2,1,6,34.94,3,0,46,61.61,High
DR_297,TRIP_102,7,0,0,40,0,0.51,82,2,0,0,10.13,1,3,15,80.41,Medium
DR_129,TRIP_103,2,6,4,10,37,0.12,84,3,2,6,8.83,3,2,38,95.81,Medium
DR_12,TRIP_104,3,8,0,8,59,0.58,85,2,4,4,26.6,1,2,40,86.63,High
DR_92,TRIP_105,0,8,6,9,99,0.89,82,3,3,0,9.39,4,0,13,91.85,Medium
DR_55,TRIP_106,2,2,4,35,33,0.63,84,3,0,6,27.91,2,0,14,91.2,High
DR_20,TRIP_107,10,4,5,14,57,0.12,72,3,5,1,19.24,1,2,30,92.58,High
DR_138,TRIP_108,8,1,6,15,113,0.15,78,1,3,6,25.2,0,0,70,85.18,Low
DR_186,TRIP_109,4,2,4,16,11,0.28,84,0,0,2,9.08,4,3,53,50.33,High
DR_259,TRIP_110,0,0,1,24,12,0.68,95,2,1,2,16.7,0,1,17,85.32,Medium
DR_39,TRIP_111,2,0,0,38,3,0.25,90,3,0,0,7.46,1,3,69,58.85,Medium
DR_286,TRIP_112,9,7,3,2,76,0.57,75,1,3,5,6.59,2,0,22,73.56,Medium
DR_300,TRIP_113,7,0,4,35,86,0.7,79,2,1,3,33.55,4,0,42,77.92,Medium
DR_250,TRIP_114,3,4,4,36,109,0.36,80,1,5,4,39.47,2,2,61,80.4,Medium
DR_144,TRIP_115,6,1,2,17,30,0.17,85,3,1,3,7.05,0,3,64,65.46,High
DR_56,TRIP_116,1,8,1,0,119,0.51,88,3,4,2,39.36,3,0,32,90.92,Medium
DR_117,TRIP_117,3,7,5,27,32,0.83,77,2,3,2,7.12,1,0,65,89.95,Medium
DR_105,TRIP_118,9,1,1,38,85,0.88,77,0,5,1,15.4,1,3,54,58.25,High
DR_24,TRIP_119,8,7,5,37,75,0.52,67,1,2,3,13.12,2,1,19,72.95,Medium
DR_245,TRIP_120,6,1,4,35,61,0.5,79,0,0,6,7.49,3,2,10,76.57,Low
DR_104,TRIP_121,0,5,6,26,53,0.13,83,1,5,3,7.44,2,3,60,72.49,Low
DR_85,TRIP_122,4,8,4,5,94,0.12,79,3,1,2,19.37,4,2,37,60.4,Low
DR_46,TRIP_123,9,4,1,21,95,0.83,77,3,0,1,13.56,2,1,60,57.71,Low
DR_137,TRIP_124,8,5,1,39,68,0.12,74,1,2,6,27.19,2,0,29,86.33,High
DR_144,TRIP_125,8,1,5,35,2,0.53,75,2,1,0,19.68,1,3,18,91.68,Low
DR_131,TRIP_126,1,8,5,13,99,0.7,81,3,2,3,37.64,2,2,28,81.6,Low
DR_61,TRIP_127,6,5,1,0,69,0.54,84,0,5,4,7.43,1,0,39,58.34,Low
DR_149,TRIP_128,7,2,2,40,55,0.13,77,2,3,3,21.58,3,1,33,68.66,Medium
DR_279,TRIP_129,4,1,1,17,66,0.75,89,0,3,6,23.94,0,0,40,67.04,Low
DR_173,TRIP_130,7,5,0,34,55,0.67,77,2,4,4,7.62,0,0,15,77.8,Low
DR_63,TRIP_131,9,3,2,9,106,0.14,79,2,3,4,32.2,1,3,29,58.58,Medium
DR_134,TRIP_132,3,8,6,3,89,0.53,79,2,2,4,31.29,3,0,36,58.37,Low
DR_62,TRIP_133,5,4,0,29,81,0.83,82,0,1,4,27.58,1,0,61,74.17,High
DR_1,TRIP_134,3,7,4,8,28,0.5,82,2,1,0,25.91,4,3,51,53.53,Medium
DR_143,TRIP_135,9,0,5,19,52,0.54,78,2,3,1,14.51,0,0,41,64.96,High
DR_179,TRIP_136,4,3,1,7,74,0.64,88,2,4,1,19.65,3,2,36,69.57,High
DR_59,TRIP_137,0,3,5,20,62,0.85,87,3,0,2,27.27,3,3,24,51.43,Medium
DR_43,TRIP_138,5,2,4,18,9,0.81,83,3,4,1,38.3,1,3,36,66.48,Medium
DR_271,TRIP_139,10,6,5,29,79,0.6,67,0,4,1,9.26,1,1,21,95.25,Medium
DR_272,TRIP_140,5,5,6,17,117,0.7,77,2,2,1,26.04,0,1,12,94.08,High
DR_291,TRIP_141,2,8,6,13,55,0.25,79,3,3,5,14.28,2,0,66,90.97,High
DR_16,TRIP_142,1,7,0,26,65,0.63,85,2,2,3,31.1,3,0,61,62.62,Medium
DR_45,TRIP_143,8,7,5,33,15,0.87,68,2,5,2,20.94,0,0,56,54.58,High
DR_136,TRIP_144,8,8,1,32,118,0.55,71,3,2,6,13.14,0,3,61,94.3,Low
DR_158,TRIP_145,9,7,1,26,52,0.65,72,1,3,2,16.9,4,2,34,71.35,Medium
DR_283,TRIP_146,5,8,5,15,6,0.79,75,2,4,3,9.9,0,3,14,87.72,Low
DR_78,TRIP_147,7,4,6,21,64,0.67,74,0,5,3,36.74,1,0,22,50.17,Medium
DR_297,TRIP_148,6,6,0,5,114,0.67,83,2,1,6,35.06,0,1,23,85.1,Medium
DR_70,TRIP_149,8,4,0,37,98,0.59,76,0,0,5,37.79,0,0,44,60.02,Low
DR_45,TRIP_150,2,3,4,31,20,0.3,83,1,1,1,25.8,1,2,35,69.9,High
DR_169,TRIP_151,1,6,3,34,26,0.71,82,1,5,4,36.67,0,1,28,58.45,Low
DR_243,TRIP_152,4,5,1,17,102,0.69,84,1,5,4,26.91,4,3,32,75.04,High
DR_293,TRIP_153,0,0,0,25,25,0.11,95,2,0,5,9.48,0,3,61,71.0,High
DR_225,TRIP_154,3,8,5,10,23,0.84,79,1,0,5,37.86,3,0,35,86.84,High
DR_260,TRIP_155,10,7,0,7,62,0.13,76,1,5,6,21.57,1,3,59,77.38,Medium
DR_224,TRIP_156,1,6,6,39,12,0.5,77,1,2,1,25.67,4,2,28,65.14,Medium
DR_204,TRIP_157,8,1,2,14,13,0.15,82,2,1,1,31.01,1,1,15,89.26,Low
DR_229,TRIP_158,8,7,2,12,72,0.29,75,0,3,2,37.3,4,3,41,56.73,High
DR_85,TRIP_159,7,2,1,8,95,0.74,85,0,1,4,31.85,0,2,34,62.93,Low
DR_6,TRIP_160,7,3,6,1,81,0.33,80,3,3,3,14.61,0,2,25,96.32,Medium
DR_256,TRIP_161,9,0,2,13,2,0.36,82,2,0,5,18.66,0,2,57,96.86,High
DR_194,TRIP_162,0,1,6,11,74,0.66,90,2,2,3,7.59,4,1,42,92.46,High
DR_87,TRIP_163,3,2,1,39,94,0.34,85,1,2,0,23.41,0,3,49,81.08,Medium
DR_249,TRIP_164,4,7,4,11,12,0.73,79,3,5,1,7.25,2,2,65,68.65,High
DR_177,TRIP_165,4,5,6,6,38,0.25,81,2,2,5,27.46,3,2,16,56.32,Low
DR_263,TRIP_166,9,0,3,10,73,0.46,82,1,4,2,30.01,4,1,23,82.57,High
DR_274,TRIP_167,6,6,1,38,93,0.71,76,2,5,6,7.33,1,3,26,57.33,High
DR_150,TRIP_168,10,0,0,27,15,0.65,80,2,5,3,13.4,2,1,32,57.43,High
DR_184,TRIP_169,1,4,6,20,48,0.53,84,2,5,1,19.86,1,3,38,94.83,High
DR_235,TRIP_170,5,6,1,12,31,0.64,82,3,4,1,29.11,2,2,34,90.02,High
DR_194,TRIP_171,6,2,1,19,13,0.9,84,1,1,0,21.18,4,3,41,54.71,Low
DR_123,TRIP_172,1,5,5,33,26,0.88,81,1,4,3,35.01,1,2,47,62.23,High
DR_231,TRIP_173,4,0,6,12,81,0.9,85,1,2,3,39.67,4,1,32,99.15,Low
DR_195,TRIP_174,9,3,3,28,26,0.51,74,3,5,0,22.94,3,0,16,51.32,Low
DR_236,TRIP_175,7,6,6,14,18,0.89,73,3,3,2,33.71,3,1,60,71.63,Medium
DR_76,TRIP_176,1,3,1,12,110,0.22,92,1,2,6,33.03,1,1,14,97.91,High
DR_28,TRIP_177,1,1,0,27,93,0.24,92,3,0,5,17.76,1,0,61,97.87,Low
DR_162,TRIP_178,1,1,3,1,109,0.33,94,1,5,3,33.0,4,2,65,60.51,Medium
DR_227,TRIP_179,7,8,0,31,84,0.63,74,1,4,1,37.12,0,0,52,67.82,Medium
DR_12,TRIP_180,1,6,6,20,62,0.21,81,1,2,5,10.19,2,3,12,53.42,Low
DR_36,TRIP_181,9,8,0,8,111,0.32,76,0,4,5,7.8,1,0,21,97.09,Low
DR_122,TRIP_182,0,6,3,14,104,0.32,87,3,4,1,10.89,3,3,28,59.76,High
DR_45,TRIP_183,10,5,3,38,33,0.42,69,0,4,6,17.68,4,2,59,84.77,High
DR_51,TRIP_184,3,0,0,24,74,0.3,91,2,3,6,27.25,3,0,20,60.03,High
DR_197,TRIP_185,7,2,3,21,15,0.53,80,1,0,0,5.84,0,3,15,77.97,Medium
DR_265,TRIP_186,0,3,4,6,51,0.2,91,3,5,2,31.35,2,2,19,58.74,Medium
DR_275,TRIP_187,4,0,4,30,29,0.47,84,3,2,5,39.4,4,2,11,88.73,Low
DR_174,TRIP_188,2,4,0,19,54,0.63,89,1,1,2,38.41,2,1,65,88.94,Low
DR_246,TRIP_189,5,3,5,7,51,0.73,82,1,3,6,24.82,3,0,50,97.52,High
DR_72,TRIP_190,1,3,2,23,22,0.81,89,0,5,2,10.57,4,2,31,60.49,Low
DR_127,TRIP_191,1,2,2,38,112,0.33,87,2,2,2,34.0,4,3,23,57.97,Low
DR_54,TRIP_192,7,5,4,27,43,0.62,74,1,2,6,11.58,4,0,70,98.53,Low
DR_299,TRIP_193,1,6,5,9,44,0.21,84,2,1,2,35.59,3,0,50,87.5,Low
DR_61,TRIP_194,0,1,3,11,106,0.77,94,2,0,4,11.74,0,1,56,84.07,Medium
DR_285,TRIP_195,5,2,3,17,44,0.36,84,2,5,6,12.99,1,2,48,58.84,Medium
DR_102,TRIP_196,8,2,4,8,5,0.21,80,0,4,6,7.87,3,0,19,93.97,High
DR_181,TRIP_197,4,6,0,28,74,0.24,82,3,3,1,14.25,2,3,33,61.69,Low
DR_159,TRIP_198,4,3,3,6,64,0.78,86,3,2,5,19.98,3,0,49,76.78,Low
DR_276,TRIP_199,7,8,0,24,67,0.79,76,1,4,3,13.46,2,2,11,52.19,High
DR_24,TRIP_200,1,3,6,24,9,0.54,84,3,1,3,16.7,4,2,61,93.25,Low
DR_81,TRIP_201,8,6,3,3,46,0.14,77,1,4,3,39.79,1,2,33,60.19,Low
DR_186,TRIP_202,6,6,0,29,64,0.74,78,1,3,3,38.16,1,1,38,85.38,Medium
DR_47,TRIP_203,8,2,2,32,56,0.22,77,3,3,5,14.79,4,2,68,70.84,High
DR_177,TRIP_204,9,0,3,38,103,0.64,76,0,1,0,33.23,0,2,14,51.51,Medium
DR_234,TRIP_205,3,6,1,19,47,0.67,84,3,4,4,18.99,1,2,60,55.0,Low
DR_270,TRIP_206,7,1,6,7,57,0.16,81,0,5,3,24.68,0,3,61,54.67,High
DR_181,TRIP_207,6,8,1,8,87,0.52,79,0,0,1,16.73,0,2,38,55.19,Low
DR_46,TRIP_208,9,2,1,37,65,0.18,76,2,4,0,32.13,1,0,30,67.19,Low
DR_102,TRIP_209,5,1,1,12,41,0.4,88,1,3,3,18.98,3,1,42,95.16,Medium
DR_85,TRIP_210,1,2,2,28,34,0.76,89,2,3,1,5.01,1,2,46,99.24,Low
DR_48,TRIP_211,2,1,6,24,101,0.6,85,0,5,0,34.04,0,0,11,84.27,High
DR_273,TRIP_212,0,4,1,21,82,0.75,90,2,5,4,7.83,3,2,65,80.38,High
DR_215,TRIP_213,9,5,1,16,48,0.18,77,2,0,5,20.58,4,3,60,90.56,Low
DR_107,TRIP_214,10,2,3,35,76,0.36,73,0,5,4,20.8,3,3,30,88.93,High
DR_8,TRIP_215,10,7,5,6,63,0.25,70,3,2,2,22.55,2,2,39,50.21,Medium
DR_172,TRIP_216,2,6,5,40,79,0.83,77,3,4,2,11.6,0,2,14,98.36,High
DR_179,TRIP_217,4,3,6,3,120,0.85,84,0,0,6,34.64,4,2,36,97.65,Low
DR_48,TRIP_218,4,6,4,1,68,0.17,83,1,1,2,23.36,0,1,20,76.42,Low
DR_119,TRIP_219,2,5,3,12,6,0.16,86,0,3,3,10.89,0,1,57,64.86,High
DR_226,TRIP_220,4,0,3,29,10,0.13,85,2,5,3,28.33,1,0,68,85.56,High
DR_240,TRIP_221,7,6,6,4,54,0.3,75,1,5,3,29.72,1,3,49,82.45,High
DR_276,TRIP_222,6,0,2,16,30,0.63,86,0,3,4,20.14,2,3,31,64.39,Low
DR_16,TRIP_223,9,0,3,27,12,0.32,78,3,3,3,33.38,3,1,60,84.02,High
DR_2,TRIP_224,10,0,2,0,48,0.88,83,0,4,5,5.98,4,3,32,94.76,Medium
DR_227,TRIP_225,0,8,4,40,85,0.49,78,1,4,0,28.1,1,2,64,66.02,High
DR_260,TRIP_226,1,8,4,2,47,0.68,85,1,0,3,26.34,2,1,63,61.48,High
DR_34,TRIP_227,6,2,3,32,69,0.63,79,0,1,2,7.18,3,2,20,74.6,High
DR_299,TRIP_228,6,0,6,30,72,0.36,79,3,3,6,9.77,0,2,47,75.22,Medium
DR_73,TRIP_229,1,7,5,30,22,0.68,79,1,0,0,39.12,3,3,23,57.8,Medium
DR_115,TRIP_230,10,7,4,38,20,0.69,65,0,5,1,23.66,4,3,42,59.75,Medium
DR_49,TRIP_231,8,2,0,20,7,0.83,82,3,3,5,7.9,1,1,24,80.35,High
DR_71,TRIP_232,10,5,2,8,30,0.74,76,1,4,1,28.35,1,3,62,68.52,Medium
DR_142,TRIP_233,0,1,5,35,0,0.77,87,0,0,2,8.45,2,1,28,71.83,Medium
DR_116,TRIP_234,3,0,5,25,35,0.13,85,2,3,3,23.75,3,3,56,70.27,High
DR_269,TRIP_235,1,7,0,26,35,0.28,85,2,4,6,12.73,2,0,45,63.99,Medium
DR_263,TRIP_236,2,3,1,19,57,0.28,89,3,3,4,33.73,4,0,24,91.77,High
DR_245,TRIP_237,6,1,1,19,109,0.46,85,3,4,1,14.87,4,0,54,55.82,High
DR_204,TRIP_238,8,7,2,24,10,0.12,73,3,5,4,26.06,2,3,63,83.78,Low
DR_46,TRIP_239,8,1,1,17,60,0.23,83,1,3,3,39.61,0,3,70,52.18,Low
DR_212,TRIP_240,9,2,4,14,69,0.76,77,2,5,1,6.99,0,3,43,95.35,High
DR_191,TRIP_241,0,3,4,14,49,0.48,90,3,4,2,38.01,0,1,45,58.95,Low
DR_165,TRIP_242,10,3,5,13,85,0.9,74,1,5,5,36.45,0,2,33,59.76,High
DR_33,TRIP_243,7,4,2,2,88,0.4,83,3,2,2,26.21,1,2,24,70.16,High
DR_251,TRIP_244,6,5,0,24,4,0.35,81,1,3,2,22.43,1,0,21,91.02,Medium
DR_169,TRIP_245,2,0,4,24,35,0.47,88,0,4,0,7.15,0,0,48,90.11,High
DR_98,TRIP_246,7,1,0,16,51,0.17,86,3,0,6,16.57,3,1,17,56.12,Low
DR_74,TRIP_247,8,3,3,32,114,0.8,75,2,4,4,39.55,4,1,11,70.78,Medium
DR_31,TRIP_248,5,4,5,19,30,0.74,79,2,4,2,18.07,0,0,14,86.25,Medium
DR_266,TRIP_249,5,6,2,27,7,0.41,78,3,5,1,21.74,3,3,64,94.81,High
DR_260,TRIP_250,2,5,1,32,55,0.85,84,2,1,5,23.79,2,0,34,90.53,Medium
DR_90,TRIP_251,4,8,0,35,119,0.25,78,0,0,2,36.81,1,2,51,99.79,Medium
DR_46,TRIP_252,7,3,1,34,33,0.15,78,2,1,3,18.05,0,0,14,68.6,High
DR_26,TRIP_253,2,5,5,31,23,0.82,80,1,4,2,5.5,3,1,35,63.4,Low
DR_114,TRIP_254,10,4,5,34,75,0.52,68,0,4,3,8.99,4,3,20,79.65,Medium
DR_127,TRIP_255,2,5,2,17,46,0.35,86,1,2,0,29.53,3,2,44,61.13,Low
DR_108,TRIP_256,5,6,0,9,103,0.75,84,3,1,4,30.22,2,3,59,85.7,High
DR_61,TRIP_257,10,5,5,37,11,0.18,67,1,1,5,38.34,3,0,59,54.39,Low
DR_121,TRIP_258,5,4,0,8,96,0.39,87,3,2,1,28.05,4,2,67,81.19,Low
DR_124,TRIP_259,3,7,2,34,68,0.69,79,0,4,0,34.7,4,2,13,70.48,Medium
DR_40,TRIP_260,4,5,4,16,44,0.85,81,3,5,3,30.37,2,3,66,65.37,Medium
DR_182,TRIP_261,5,4,1,3,6,0.69,86,2,0,2,10.07,0,2,69,51.07,High
DR_27,TRIP_262,0,0,1,11,105,0.4,97,3,5,2,14.67,4,1,63,86.2,Medium
DR_249,TRIP_263,8,8,3,12,111,0.77,73,2,3,3,17.75,0,2,26,63.59,High
DR_178,TRIP_264,6,5,2,35,100,0.69,76,1,3,5,32.97,1,2,60,92.42,Medium
DR_50,TRIP_265,2,4,6,34,43,0.16,79,1,2,6,20.09,3,3,37,95.31,High
DR_139,TRIP_266,7,8,5,25,103,0.24,70,1,0,5,10.18,0,2,31,68.33,Medium
DR_31,TRIP_267,7,6,6,28,116,0.6,71,1,3,6,8.16,2,0,60,86.33,High
DR_74,TRIP_268,2,4,5,6,43,0.29,86,3,0,4,27.85,4,2,23,64.98,High
DR_2,TRIP_269,2,4,3,7,16,0.4,88,0,2,3,39.14,0,0,53,91.08,Medium
