vehicle_id,engine_temp_c,vibration_level,rpm,oil_pressure,coolant_level_pct,last_service_km,current_km,fault_code,breakdown_within_30_days,battery_voltage,engine_load_pct,fuel_rate_lph,tire_pressure_front_left,tire_pressure_front_right,tire_pressure_back_left,tire_pressure_back_right,ambient_temp_c,vehicle_age_years,service_alert_flag,breakdown_history_count
VH_303,109.3,7.58,2058,376,91,130287,144669,P0300,0,12.26,22,4.05,32,34,32,35,38,5,1,5
VH_380,70.3,1.97,2411,370,85,122166,124126,P0300,0,13.44,94,10.18,28,36,31,35,37,9,0,5
VH_251,92.8,5.2,2917,292,88,139955,141210,P0500,1,13.14,84,6.83,36,28,32,36,31,6,0,4
VH_100,83.7,4.73,1052,358,83,144742,145982,NONE,0,14.31,42,4.83,35,31,34,38,38,2,1,2
VH_202,96.7,2.13,1178,270,85,136997,139738,P0300,0,11.55,23,11.08,29,31,35,40,34,14,0,1
VH_136,86.0,3.29,2773,379,93,82599,96489,NONE,0,12.72,80,7.82,36,31,30,40,15,15,1,0
VH_194,105.0,5.6,2296,365,98,83435,84908,P0171,0,11.76,32,11.26,32,33,31,30,24,15,0,2
VH_137,90.9,2.66,1984,377,77,110310,112335,NONE,0,14.73,38,8.12,36,34,39,37,15,13,0,0
VH_427,85.6,8.36,1633,355,80,120379,124852,P0300,0,13.83,49,7.05,33,35,33,32,44,3,1,4
VH_216,88.1,4.0,3235,376,89,57541,62498,P0420,0,11.7,75,3.4,29,31,34,39,43,15,1,3
VH_90,75.8,5.74,2952,326,68,144694,150679,NONE,1,13.9,30,9.47,33,28,35,35,34,2,0,3
VH_283,107.0,3.99,1636,394,87,97189,101739,P0171,0,11.8,95,3.87,31,35,37,36,37,8,1,4
VH_405,104.2,5.01,2454,399,78,141287,152746,NONE,0,14.04,97,4.77,28,28,36,35,16,10,0,0
VH_271,101.9,2.5,3059,371,61,89927,97065,NONE,1,14.47,90,8.25,30,29,37,38,40,10,0,0
VH_371,93.7,7.31,885,262,87,103458,110742,NONE,0,12.19,88,8.97,31,36,40,34,32,12,1,0
VH_423,108.4,7.47,2796,361,84,66212,78403,P0420,0,12.67,59,4.3,34,29,39,37,20,3,0,2
VH_353,98.0,1.31,3373,348,81,147343,162174,P0300,1,12.88,28,7.04,29,29,38,39,40,15,1,3
VH_330,91.6,7.9,2183,306,100,76876,90540,NONE,1,13.43,83,8.25,34,34,34,37,32,8,0,4
VH_92,85.5,3.75,2863,353,97,116716,122349,P0500,1,11.76,37,5.54,28,32,39,35,42,1,0,4
VH_474,86.6,4.56,3495,274,82,144720,156900,P0500,0,12.36,61,11.32,31,31,35,33,39,15,0,2
VH_64,101.1,1.23,1669,325,81,142980,148294,NONE,1,12.57,84,3.05,29,30,31,36,18,1,1,0
VH_489,96.2,2.77,2788,266,79,104806,109117,NONE,0,12.99,95,7.39,35,31,32,32,38,1,1,2
VH_391,98.0,3.11,3266,322,63,68160,82647,P0500,0,13.26,47,10.16,36,34,32,37,17,2,0,4
VH_281,83.1,4.66,2746,265,84,86090,97542,P0420,0,11.68,53,4.03,32,28,30,32,19,13,1,4
VH_188,75.8,3.25,2335,335,95,88162,91369,NONE,1,12.97,71,8.26,34,36,30,37,29,2,1,3
VH_219,76.7,1.74,1521,393,89,101032,114208,P0171,0,14.28,100,8.39,36,28,37,35,15,3,1,4
VH_225,87.6,4.02,1908,329,93,74637,89002,NONE,1,11.9,46,5.5,29,29,35,36,20,11,0,0
VH_413,70.7,8.11,842,285,60,53831,59912,NONE,0,12.71,67,11.27,34,34,40,36,35,2,1,3
VH_139,97.8,5.11,1916,363,82,69266,71766,NONE,0,11.9,64,7.33,31,32,32,33,22,12,1,1
VH_452,96.2,6.03,1365,349,68,113505,117946,P0300,0,12.05,49,8.37,36,29,34,39,23,1,1,0
VH_412,71.9,4.26,1281,366,75,60704,70518,P0300,1,13.42,56,10.17,34,28,31,33,18,7,1,0
VH_367,107.2,2.41,3195,264,72,122072,132427,P0500,0,14.63,70,8.51,34,35,32,31,22,2,0,3
VH_453,91.6,7.29,1301,363,73,93177,96999,P0420,0,13.52,93,3.3,36,34,39,38,24,8,1,0
VH_388,91.2,1.39,1216,333,97,83057,85456,NONE,0,11.72,86,8.53,32,31,35,34,37,6,0,3
VH_210,92.7,2.9,1944,284,70,145889,155044,NONE,1,13.02,87,8.91,32,30,33,39,29,6,0,3
VH_415,109.3,2.95,1518,296,64,61738,73784,P0420,0,14.63,84,11.89,33,33,32,33,36,5,1,3
VH_201,105.6,4.68,3109,332,89,95057,108398,P0171,1,14.03,54,5.27,35,32,37,36,30,11,1,2
VH_296,103.8,4.46,1927,252,68,55160,58614,P0300,0,13.42,67,6.59,36,33,40,39,38,15,0,2
VH_221,75.0,4.05,3201,388,98,125843,135226,P0300,0,12.86,82,9.13,36,29,39,34,37,7,0,5
VH_355,104.4,3.6,2784,269,77,94558,105816,NONE,0,12.14,88,11.15,30,31,36,32,15,11,1,2
VH_429,104.2,6.4,2502,311,63,97758,101472,P0171,1,14.21,77,4.3,28,35,35,36,38,8,0,2
VH_356,102.7,2.85,2634,343,62,144632,157143,P0300,0,13.38,40,9.14,30,35,30,31,38,8,1,2
VH_453,78.1,4.77,1411,338,100,82375,95288,NONE,0,13.37,30,11.93,35,30,36,33,26,4,0,1
VH_489,72.5,4.97,1341,381,64,65537,77565,NONE,1,12.57,62,10.88,32,33,30,35,19,2,0,5
VH_128,72.8,8.34,2049,331,90,90681,91923,P0500,0,12.08,42,5.64,36,33,36,33,24,8,0,5
VH_401,71.8,3.41,2258,379,86,88001,91786,NONE,0,13.4,73,5.82,34,31,31,35,19,15,1,0
VH_271,86.2,4.25,1179,390,67,127562,129657,NONE,0,13.84,97,9.08,29,33,36,39,30,6,0,5
VH_114,80.1,8.14,1582,327,74,67924,70753,P0300,0,13.3,42,9.68,34,28,40,37,26,3,1,4
VH_434,96.8,7.33,1536,327,76,58392,68644,P0500,0,14.63,29,9.75,31,28,30,36,30,1,1,5
VH_344,93.8,8.29,2634,279,67,138929,142654,P0171,0,12.8,39,8.71,36,29,35,39,33,12,0,3
VH_494,72.3,1.7,2999,393,89,145769,158351,P0500,1,13.32,85,7.65,28,33,34,33,23,12,1,5
VH_136,100.9,8.29,1723,276,76,52720,59296,P0420,0,13.14,56,8.96,34,30,40,36,36,10,1,5
VH_337,76.6,2.27,1431,251,86,72873,87743,NONE,0,11.94,89,4.84,28,31,31,33,38,10,1,4
VH_3,85.0,5.94,2665,358,89,72856,84509,NONE,0,12.55,22,3.16,32,32,39,37,40,9,0,0
VH_172,90.3,7.18,3327,381,68,148874,149563,P0300,0,13.89,30,11.36,29,33,31,35,37,15,1,5
VH_473,88.9,2.83,2995,304,81,62720,76841,P0300,0,11.97,84,11.41,34,31,38,39,35,3,0,1
VH_73,105.0,4.08,2259,265,99,142407,148344,P0171,0,13.88,56,7.4,35,34,38,32,28,8,1,1
VH_491,90.1,5.97,2351,394,86,56158,71008,NONE,1,14.71,63,7.17,28,29,30,38,33,9,1,0
VH_466,109.9,4.03,3118,324,82,92752,106594,NONE,1,12.32,63,5.35,33,30,36,39,20,15,0,2
VH_477,71.2,3.22,1059,324,95,90309,92105,P0420,0,13.24,46,6.13,33,31,38,35,26,7,0,4
VH_120,72.1,1.63,1052,338,95,146212,148382,P0420,0,11.6,62,6.11,36,29,37,31,45,15,0,3
VH_253,73.7,7.75,1252,271,65,90404,102763,P0171,0,11.97,69,4.85,34,32,37,31,34,8,0,5
VH_228,109.1,6.61,3013,379,85,109271,119075,P0300,1,13.07,32,8.16,32,34,39,35,43,13,1,4
VH_288,93.9,1.35,1236,400,99,91107,97089,NONE,1,14.49,81,6.05,32,35,31,30,43,3,1,1
VH_476,98.5,2.34,3415,313,82,144379,156473,P0500,0,12.3,45,9.43,31,32,35,34,18,11,0,1
VH_372,72.6,3.78,942,319,83,90907,97587,NONE,0,12.05,82,10.24,36,33,31,31,39,2,0,0
VH_214,107.5,6.34,2316,350,86,138627,149222,NONE,0,11.52,96,4.79,34,34,36,40,39,1,0,3
VH_71,76.3,3.25,2466,302,100,53714,66211,P0500,1,13.15,37,10.67,35,31,31,40,23,10,0,5
VH_275,78.1,1.23,1912,263,95,97622,100117,NONE,0,12.27,43,8.02,33,30,33,31,40,9,0,5
VH_12,92.3,4.94,1119,319,94,71787,73681,P0420,0,11.95,31,6.26,30,28,34,37,15,12,1,2
VH_211,108.1,5.05,2412,297,70,148803,150755,P0300,1,14.66,98,4.78,31,29,38,35,23,1,1,0
VH_182,100.3,6.02,2507,310,88,98518,110765,P0500,1,11.77,25,7.17,30,31,39,34,42,13,0,2
VH_175,88.3,3.55,1258,339,96,71918,82323,P0420,0,14.09,45,8.53,30,34,35,39,32,4,1,3
VH_3,104.3,7.53,2890,399,87,99362,109756,P0171,0,14.08,47,5.63,35,35,37,31,32,13,1,1
VH_212,81.0,1.03,2314,305,79,93594,103019,P0420,0,14.72,96,4.71,36,28,31,38,38,6,1,1
VH_470,106.2,5.19,1918,260,80,118701,120925,NONE,0,12.97,39,5.98,34,33,38,32,37,13,0,3
VH_444,99.3,7.02,2659,283,88,139172,146842,NONE,0,14.69,68,9.66,36,30,38,38,15,9,1,1
VH_191,86.3,4.97,2828,371,72,106543,107195,P0500,0,13.56,37,7.34,31,34,36,35,18,10,1,5
VH_136,76.6,2.02,1071,359,73,149007,162893,P0300,0,12.75,93,3.12,36,35,32,33,32,6,1,5
VH_191,98.8,4.18,1322,336,94,92260,93873,P0171,1,12.38,63,10.5,28,36,34,30,15,9,0,1
VH_428,80.2,6.02,834,286,62,134886,141172,NONE,1,13.4,53,10.53,30,28,33,30,44,12,1,3
VH_383,85.4,1.19,2683,306,72,57606,59947,NONE,0,11.8,75,6.65,31,29,33,35,40,3,1,1
VH_361,80.9,1.12,2049,258,68,130686,138642,P0300,0,14.79,64,7.84,29,31,38,32,20,13,1,5
VH_463,78.0,2.88,1458,259,70,73498,78126,NONE,0,13.91,45,11.49,34,30,39,38,16,2,0,0
VH_379,79.8,2.69,1282,363,97,57601,72593,P0300,0,12.32,60,10.06,35,35,36,35,34,15,0,0
VH_183,88.0,2.11,2741,358,93,84991,91032,NONE,0,13.29,44,9.49,33,28,36,33,23,13,1,5
VH_235,109.7,8.86,2987,349,83,81791,84222,P0171,0,14.32,49,7.85,31,29,39,30,35,7,1,3
VH_75,78.9,1.37,2694,364,88,127103,128318,P0420,0,14.79,89,11.53,28,32,36,34,23,4,1,3
VH_112,96.7,2.8,1353,351,81,95723,105140,NONE,0,11.85,98,4.14,33,34,37,31,18,7,1,4
VH_217,88.8,7.57,2314,387,97,93212,99613,NONE,1,13.01,21,3.94,35,29,32,38,40,1,0,5
VH_122,87.0,6.82,2611,395,61,135579,145813,P0171,0,11.97,94,8.22,35,34,30,34,40,3,0,3
VH_381,95.9,5.94,1368,336,64,103154,114757,P0300,1,11.94,34,7.41,29,32,38,31,22,10,0,3
VH_137,86.6,3.24,3355,362,95,130839,141098,P0300,1,14.56,52,9.76,33,28,33,37,18,13,1,3
VH_141,105.6,6.73,2576,338,78,104655,108513,P0171,0,12.2,83,5.67,34,28,34,38,40,11,0,1
VH_246,78.7,1.27,3166,342,84,145830,153615,NONE,1,13.75,58,11.57,31,33,37,39,45,9,1,1
VH_109,98.9,8.87,1850,341,79,137887,149156,P0500,1,12.66,89,11.61,29,28,30,34,17,1,1,5
VH_424,81.3,1.83,2864,389,64,120309,122505,P0171,0,14.23,38,7.46,30,32,36,36,19,6,1,2
VH_469,82.3,2.87,2968,279,74,87661,95885,P0500,0,12.07,43,3.7,35,34,33,40,24,10,1,2
VH_8,94.5,4.64,2268,391,88,77672,80220,P0300,0,12.34,56,6.86,36,34,34,38,33,7,0,5
VH_79,84.0,1.14,2717,325,81,105148,119701,P0300,0,13.52,88,10.76,31,35,36,33,38,1,1,0
VH_78,108.2,8.35,3432,335,96,77505,83187,P0300,1,14.53,86,4.18,31,34,31,30,27,15,1,1
VH_499,70.2,9.0,3002,332,70,56599,67933,NONE,0,12.75,65,9.82,34,28,36,36,43,13,0,5
VH_74,86.1,7.58,2061,301,76,97954,101726,P0171,0,12.17,66,11.51,34,32,35,35,17,13,1,3
VH_466,87.7,5.69,2041,375,96,50934,60409,NONE,0,12.53,66,3.51,29,34,37,35,21,15,1,2
VH_384,80.6,4.46,1208,303,88,79699,92555,P0171,0,13.34,44,4.46,36,35,35,32,38,11,1,1
VH_221,75.5,5.71,946,253,88,92972,103687,NONE,0,12.27,53,4.53,33,32,38,37,40,11,0,3
VH_497,98.6,5.01,2708,370,75,98625,103968,P0300,0,13.49,88,11.43,33,31,32,35,44,6,1,4
VH_353,102.2,6.96,1680,281,65,118123,131357,NONE,0,13.88,78,11.65,32,36,31,31,16,14,0,2
VH_127,86.2,5.14,2874,336,64,102548,106140,P0500,0,12.48,43,3.54,33,36,37,34,25,5,0,0
VH_179,87.3,5.4,2347,305,64,85745,97466,P0171,0,12.56,20,10.0,30,36,36,34,44,14,1,3
VH_314,70.5,7.35,910,261,96,145321,157845,NONE,0,11.64,95,3.63,30,35,34,32,42,3,1,1
VH_381,77.2,5.77,938,374,61,130705,145497,P0420,0,12.94,21,10.0,30,28,38,31,23,8,0,0
VH_378,84.3,5.53,3418,307,83,86434,98836,P0420,1,12.31,24,3.77,35,30,34,34,22,12,1,5
VH_203,72.3,6.34,3369,274,67,70927,83622,P0171,0,13.89,76,5.27,33,35,32,38,32,15,1,0
VH_316,74.5,3.4,2848,250,72,139667,141342,P0171,0,14.3,38,6.81,29,29,33,33,41,8,0,4
VH_45,83.1,2.0,3139,270,100,68745,78071,NONE,0,14.57,83,10.66,35,28,34,36,23,1,0,5
VH_119,98.3,6.07,2404,368,60,99131,112418,NONE,1,14.61,45,7.54,36,34,36,38,38,7,1,5
VH_9,98.2,8.61,2217,310,82,91332,103058,P0300,0,13.61,29,9.61,31,33,33,40,31,4,0,5
VH_138,85.3,5.49,2991,326,100,62712,65929,P0300,1,11.57,92,4.15,33,36,38,32,40,14,0,5
VH_434,77.0,5.54,1878,381,73,141182,143115,P0500,1,14.22,61,3.45,31,34,39,39,28,9,1,5
VH_157,104.1,1.86,1400,395,69,107363,115370,NONE,0,13.4,42,11.3,29,28,36,33,21,11,1,0
VH_290,71.1,4.88,1470,273,97,147979,154817,P0171,0,12.18,97,9.49,33,34,34,37,42,7,0,0
VH_349,74.7,3.88,3087,351,87,146320,160080,P0420,0,13.22,88,3.4,34,32,40,31,22,15,1,5
VH_375,109.5,2.35,2284,350,63,113057,115456,P0420,0,12.29,73,10.62,28,34,30,31,28,14,1,1
VH_101,108.2,3.77,3421,295,100,146396,153760,P0420,0,12.02,71,6.58,28,32,33,30,34,11,1,2
VH_202,99.0,8.92,1637,393,94,92282,95394,P0420,1,13.0,80,6.44,29,31,34,38,20,10,1,3
VH_411,80.1,5.18,3237,353,75,113822,122101,P0500,0,12.79,82,10.87,33,35,30,39,32,12,0,2
VH_37,101.1,4.85,1535,318,70,113036,123054,NONE,0,14.33,70,6.78,30,28,35,32,35,7,0,0
VH_343,102.1,3.23,2557,317,96,107737,121426,NONE,0,13.86,35,11.14,30,33,40,39,44,8,1,3
VH_141,100.6,6.36,2786,325,85,86087,87244,NONE,0,12.16,89,5.79,28,36,33,34,32,4,0,4
VH_337,79.3,7.76,3457,307,97,120581,128416,P0420,1,12.77,31,9.86,31,34,32,32,38,3,1,5
VH_474,99.7,1.15,965,345,78,106340,120012,NONE,1,11.84,27,3.23,32,33,30,31,40,9,1,1
VH_261,107.5,5.68,3271,347,96,98464,101946,P0420,0,14.74,61,6.19,31,29,35,37,26,10,1,2
VH_447,84.4,4.58,1081,288,87,98109,98886,P0300,1,14.36,27,11.34,36,35,39,36,18,12,0,0
VH_329,75.5,1.29,1513,280,84,86028,90474,P0420,0,12.7,34,3.15,28,31,37,35,22,13,1,0
VH_289,84.3,4.71,1587,271,70,80276,91698,NONE,0,12.49,54,5.93,36,31,37,36,34,13,0,2
VH_2,71.8,7.33,2751,281,84,131129,144321,NONE,0,13.01,30,8.4,28,35,36,37,45,12,0,2
VH_365,93.1,1.6,2584,288,64,109102,110897,P0420,0,13.57,77,10.14,35,29,38,33,26,8,1,3
VH_371,91.0,6.4,2921,270,66,115551,118349,P0300,1,12.38,66,11.5,28,31,36,38,31,15,1,1
VH_182,78.1,6.0,3010,353,66,144056,149590,P0300,1,13.0,76,10.58,33,34,35,40,29,10,0,2
VH_338,76.8,1.98,1618,283,91,67927,80413,NONE,1,12.23,40,10.02,29,28,30,30,44,4,1,4
VH_81,70.5,4.45,2721,256,89,137600,139568,P0300,1,12.84,90,11.28,28,32,30,39,21,14,1,5
VH_226,84.6,5.76,952,272,68,96865,100347,NONE,1,14.29,64,9.16,29,36,32,40,39,6,0,4
VH_15,102.8,5.27,2777,250,98,90775,98852,P0500,0,12.82,20,8.74,29,32,30,30,30,2,1,3
VH_402,74.3,1.25,1906,303,66,86747,93530,P0171,0,14.37,72,3.87,33,32,38,31,39,12,0,3
VH_468,71.8,4.82,3074,395,100,73248,84812,NONE,0,11.76,45,11.37,33,31,37,38,37,4,0,5
VH_396,97.5,7.48,2112,254,94,81713,96408,P0500,1,12.8,42,10.03,29,28,39,39,21,11,0,5
VH_388,94.9,3.61,2877,287,91,126096,126892,NONE,0,13.93,33,10.16,28,31,35,32,34,10,1,2
VH_314,88.4,1.85,817,291,99,135667,146221,P0500,0,14.68,95,11.49,30,33,33,40,38,10,0,3
VH_261,89.1,6.94,1002,309,72,122385,125875,NONE,0,12.01,28,3.45,31,28,34,40,18,6,1,5
VH_44,92.7,5.64,2111,271,97,129120,138676,NONE,1,12.32,67,3.75,36,34,38,30,39,5,1,1
VH_82,103.1,7.78,3173,306,81,84651,94905,NONE,0,12.27,91,4.84,28,32,34,33,37,8,0,1
VH_335,78.4,5.7,1867,303,60,57712,66019,P0420,0,12.19,47,7.55,32,36,40,39,15,11,0,3
VH_261,84.9,7.18,2480,340,75,96002,99123,P0300,0,13.51,30,7.48,32,29,40,32,18,1,1,4
VH_321,93.5,2.48,2502,389,87,97483,106823,NONE,1,12.3,60,7.12,32,35,31,36,40,15,0,1
VH_477,79.9,6.66,2090,309,94,108327,115359,NONE,1,13.68,82,9.16,30,30,34,37,29,10,1,3
VH_354,92.9,6.82,2648,296,85,79354,82902,NONE,0,12.85,35,6.13,35,29,33,33,28,11,0,4
VH_257,74.6,8.43,1781,370,100,145417,150882,NONE,0,14.29,35,3.99,33,36,34,35,15,1,1,1
VH_332,90.6,8.59,2498,266,63,86304,97775,P0300,0,13.39,77,9.43,29,33,38,39,40,14,0,3
VH_222,83.5,7.76,869,376,62,72615,82949,P0500,1,14.06,65,3.77,33,33,30,33,43,15,1,5
VH_466,94.3,2.13,1213,379,84,91459,104703,NONE,0,13.05,72,11.79,33,34,31,39,34,3,0,1
